,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
147,Raheem Mostert,MIA,RB,30,2,1,0,0,0,0,0,16,67,4.19,0,4,4,44,11.00,0,0,0,0,,,11,15.1,15.1,13.1,,40,
148,Richie James,NYG,WR,27,2,0,0,0,0,0,0,1,2,2.00,0,12,10,110,11.00,0,0,0,0,,,11,21.2,24.2,16.2,,52,
149,Kenneth Gainwell,PHI,RB,23,2,0,0,0,0,0,0,7,27,3.86,1,6,3,23,7.67,0,0,0,1,,,11,14.0,14.0,12.5,,42,
150,Brandon Aiyuk,SFO,WR,24,2,2,0,0,0,0,0,1,7,7.00,0,11,7,103,14.71,0,0,0,0,,,11,18.0,21.0,14.5,,58,
151,Ross Dwelley,SFO,TE,27,2,0,0,0,0,0,0,0,0,,0,3,2,49,24.50,1,0,0,1,,,11,12.9,12.9,11.9,,13,
152,J.D. McKissic,WAS,RB,29,2,0,0,0,0,0,0,6,17,2.83,0,10,10,74,7.40,0,0,0,0,1,,11,21.1,21.1,16.1,,41,
154,KhaDarel Hodge,ATL,WR,27,2,1,0,0,0,0,0,0,0,,0,6,5,95,19.00,0,0,0,0,,,10,14.5,14.5,12.0,,62,
155,Ezekiel Elliott,DAL,RB,27,2,2,0,0,0,0,0,25,105,4.20,0,4,2,-7,-3.50,0,0,0,0,,,10,11.8,14.8,10.8,,45,
156,Mike Gesicki,MIA,TE,27,2,0,0,0,0,0,0,0,0,,0,5,5,42,8.40,1,0,0,1,,,10,15.2,15.2,12.7,,16,
157,Irv Smith Jr.,MIN,TE,24,2,0,0,0,0,0,0,0,0,,0,10,5,36,7.20,1,0,0,1,,,10,14.6,14.6,12.1,,17,
158,Treylon Burks,TEN,WR,22,2,1,0,0,0,0,0,0,0,,0,11,7,102,14.57,0,0,0,0,,,10,17.2,20.2,13.7,,59,
159,Josh Palmer,LAC,WR,24,2,2,0,0,0,0,0,1,4,4.00,0,12,7,35,5.00,1,0,0,1,,,10,16.9,16.9,13.4,,60,
160,Will Dissly,SEA,TE,26,2,2,0,0,0,0,0,0,0,,0,5,5,43,8.60,1,0,0,1,,,10,15.3,15.3,12.8,,14,
161,Colby Parkinson,SEA,TE,23,2,0,0,0,0,0,0,0,0,,0,2,2,43,21.50,1,0,0,1,,,10,12.3,12.3,11.3,,15,
162,Breshad Perriman,TAM,WR,29,2,1,0,0,0,0,0,1,-7,-7.00,0,8,3,45,15.00,1,0,0,1,,,10,12.8,12.8,11.3,,61,
163,Nyheim Hines,IND,RB,26,2,1,0,0,0,0,0,4,4,1.00,0,11,10,87,8.70,0,1,0,0,,,9,19.1,19.1,14.1,,46,
164,Zay Jones,JAX,WR,27,2,1,0,0,0,0,0,0,0,,0,13,9,88,9.78,0,0,0,0,,,9,17.8,17.8,13.3,,64,
165,Adam Thielen,MIN,WR,32,2,2,0,0,0,0,0,0,0,,0,11,7,88,12.57,0,0,0,0,,,9,15.8,15.8,12.3,,65,
166,Boston Scott,PHI,RB,27,2,0,0,0,0,0,0,8,29,3.63,1,1,1,2,2.00,0,0,0,1,,,9,10.1,10.1,9.6,,47,
167,Brandon Bolden,LVR,RB,32,1,0,0,0,0,0,0,3,7,2.33,0,2,2,21,10.50,1,0,0,1,,,9,10.8,10.8,9.8,,48,
168,Demarcus Robinson,BAL,WR,28,2,0,0,0,0,0,0,0,0,,0,6,3,31,10.33,1,0,0,1,,,9,12.1,12.1,10.6,,63,
169,Julio Jones,TAM,WR,33,1,0,0,0,0,0,0,2,17,8.50,0,5,3,69,23.00,0,0,0,0,,,9,11.6,11.6,10.1,,66,
170,Reggie Gilliam,BUF,RB,25,2,0,0,0,0,0,0,0,0,,0,3,2,17,8.50,1,0,0,1,,,8,9.7,9.7,8.7,,53,
171,Devin Singletary,BUF,RB,25,2,2,0,0,0,0,0,14,67,4.79,0,6,4,16,4.00,0,0,0,0,,,8,12.3,12.3,10.3,,49,
172,Eric Saubert,DEN,TE,28,2,1,0,0,0,0,0,0,0,,0,3,1,22,22.00,1,0,0,1,,,8,9.2,9.2,8.7,,19,
173,Romeo Doubs,GNB,WR,22,2,0,0,0,0,0,0,1,11,11.00,0,8,6,64,10.67,0,0,0,0,,,8,13.5,13.5,10.5,,72,
174,Rex Burkhead,HOU,RB,32,2,0,0,0,0,0,0,14,40,2.86,0,11,7,39,5.57,0,0,0,0,,,8,14.9,14.9,11.4,,51,
175,Nico Collins,HOU,WR,23,2,1,0,0,0,0,0,0,0,,0,12,6,84,14.00,0,0,0,0,,,8,14.4,14.4,11.4,,67,
