,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Lamar Jackson,BAL,QB,25,3,3,56,88,749,10,2,26,243,9.35,2,0,0,0,,0,1,0,2,,,102,102.3,110.3,104.3,50,1,1
1,Nick Chubb,CLE,RB,27,3,3,0,0,0,0,0,62,341,5.50,4,5,4,28,7.00,0,0,0,4,,,61,64.9,67.9,62.9,36,1,2
2,Josh Allen,BUF,QB,26,3,3,94,132,1014,9,2,19,113,5.95,1,0,0,0,,0,3,1,1,,,88,87.9,96.9,89.9,35,2,3
3,Jalen Hurts,PHI,QB,24,3,3,66,98,916,4,1,37,167,4.51,3,0,0,0,,0,1,0,3,,,85,85.3,92.3,86.3,33,3,4
4,Stefon Diggs,BUF,WR,29,3,3,0,0,0,0,0,0,0,,0,35,27,344,12.74,4,0,0,4,,,58,85.4,88.4,71.9,33,1,5
5,Saquon Barkley,NYG,RB,25,3,3,0,0,0,0,0,53,317,5.98,2,15,13,91,7.00,0,1,0,2,1,,55,67.8,70.8,61.3,30,2,6
6,Jaylen Waddle,MIA,WR,24,3,3,0,0,0,0,0,2,17,8.50,0,30,19,342,18.00,3,0,0,3,,,54,72.9,75.9,63.4,28,2,7
7,Mark Andrews,BAL,TE,27,3,3,0,0,0,0,0,1,3,3.00,0,31,22,245,11.14,3,0,0,3,,,43,64.8,67.8,53.8,26,1,8
8,Cooper Kupp,LAR,WR,29,3,3,0,0,0,0,0,1,20,20.00,1,35,28,280,10.00,3,1,1,4,,,52,80.0,84.0,66.0,26,3,9
9,James Robinson,JAX,RB,24,3,3,0,0,0,0,0,51,230,4.51,3,7,6,33,5.50,1,0,0,4,,,50,56.3,59.3,53.3,25,3,10
10,Amon-Ra St. Brown,DET,WR,23,3,3,0,0,0,0,0,2,68,34.00,0,33,23,253,11.00,3,0,0,3,,,50,73.1,76.1,61.6,24,4,11
11,Travis Kelce,KAN,TE,33,3,3,0,0,0,0,0,1,1,1.00,0,24,17,230,13.53,2,0,0,2,1,,37,54.1,57.1,45.6,21,2,12
12,Cordarrelle Patterson,ATL,RB,31,3,2,0,0,0,0,0,49,302,6.16,2,7,4,28,7.00,0,0,0,2,,,45,49.0,52.0,47.0,20,4,13
13,Christian Kirk,JAX,WR,26,3,3,0,0,0,0,0,0,0,,0,27,18,267,14.83,3,0,0,3,,,45,62.7,65.7,53.7,19,5,14
14,Tyreek Hill,MIA,WR,28,3,3,0,0,0,0,0,1,6,6.00,0,29,21,317,15.10,2,1,0,2,,,44,65.3,68.3,54.8,19,6,15
15,Jamaal Williams,DET,RB,27,3,0,0,0,0,0,0,43,168,3.91,4,5,4,29,7.25,0,0,0,4,,,44,47.7,50.7,45.7,18,5,16
16,Khalil Herbert,CHI,RB,24,3,0,0,0,0,0,0,33,240,7.27,3,4,4,13,3.25,0,0,0,3,,,43,47.3,50.3,45.3,18,6,17
17,D'Andre Swift,DET,RB,23,3,3,0,0,0,0,0,27,231,8.56,1,12,8,77,9.63,1,0,0,2,,,43,50.8,53.8,46.8,18,7,18
18,Patrick Mahomes,KAN,QB,27,3,3,74,109,857,8,1,9,30,3.33,0,0,0,0,,0,1,0,0,,1,69,69.3,73.3,70.3,17,4,19
19,Clyde Edwards-Helaire,KAN,RB,23,3,3,0,0,0,0,0,22,116,5.27,1,12,12,115,9.58,2,0,0,3,,,41,53.1,59.1,47.1,16,8,20
20,Aaron Jones,GNB,RB,28,3,3,0,0,0,0,0,32,217,6.78,1,12,9,76,8.44,1,1,1,2,,,39,48.3,52.3,43.8,14,9,21
21,Jonathan Taylor,IND,RB,23,3,3,0,0,0,0,0,61,286,4.69,1,13,8,43,5.38,0,0,0,1,,,39,46.9,49.9,42.9,14,10,22
22,Tua Tagovailoa,MIA,QB,24,3,3,72,101,925,8,2,4,1,0.25,0,0,0,0,,0,1,0,0,,,65,65.1,70.1,67.1,13,5,23
23,Derrick Henry ,TEN,RB,28,3,3,0,0,0,0,0,54,192,3.56,2,7,5,58,11.60,0,1,0,2,,,37,42.0,45.0,39.5,12,11,24
24,Carson Wentz,WAS,QB,30,3,3,82,130,861,7,3,11,57,5.18,0,0,0,0,,0,3,1,0,,2,64,64.1,71.1,67.1,12,6,25
25,A.J. Brown,PHI,WR,25,3,3,0,0,0,0,0,0,0,,0,31,20,309,15.45,1,0,0,1,,,37,56.9,59.9,46.9,11,7,26
