,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Lamar Jackson,BAL,QB,25,4,4,76,117,893,11,4,37,316,8.54,2,0,0,0,,0,1,0,2,,,115,115.3,125.3,119.3,48,1,1
1,Josh Allen,BUF,QB,26,4,4,113,168,1227,10,3,30,183,6.10,2,0,0,0,,0,4,1,2,,,111,111.4,121.4,114.4,44,2,2
2,Nick Chubb,CLE,RB,27,4,4,0,0,0,0,0,81,459,5.67,5,8,6,37,6.17,0,0,0,5,,,80,85.6,88.6,82.6,40,1,3
3,Jalen Hurts,PHI,QB,24,4,4,82,123,1120,4,2,53,205,3.87,4,0,0,0,,0,2,0,4,,,101,101.3,109.3,103.3,35,3,4
4,Saquon Barkley,NYG,RB,25,4,4,0,0,0,0,0,84,463,5.51,2,17,15,107,7.13,0,1,0,2,1,,71,86.0,92.0,78.5,32,2,5
5,Stefon Diggs,BUF,WR,29,4,4,0,0,0,0,0,0,0,,0,41,31,406,13.10,4,0,0,4,,,65,95.6,98.6,80.1,29,1,6
6,Cooper Kupp,LAR,WR,29,4,4,0,0,0,0,0,1,20,20.00,1,54,42,402,9.57,3,1,1,4,,,64,106.2,110.2,85.2,29,2,7
7,Jamaal Williams,DET,RB,27,4,1,0,0,0,0,0,62,276,4.45,6,8,5,30,6.00,0,0,0,6,,,67,71.6,74.6,69.1,28,3,8
8,Travis Kelce,KAN,TE,33,4,4,0,0,0,0,0,1,1,1.00,0,34,26,322,12.38,3,0,0,3,1,,52,78.3,81.3,65.3,27,1,9
9,Patrick Mahomes,KAN,QB,27,4,4,97,146,1106,11,2,13,64,4.92,0,0,0,0,,0,1,0,0,,1,93,92.6,97.6,94.6,26,4,10
10,Tyreek Hill,MIA,WR,28,4,4,0,0,0,0,0,2,5,2.50,0,43,31,477,15.39,2,1,0,2,,,60,91.2,94.2,75.7,25,3,11
11,Clyde Edwards-Helaire,KAN,RB,23,4,4,0,0,0,0,0,41,208,5.07,2,14,13,117,9.00,3,0,0,5,,,63,75.5,81.5,69.0,24,4,12
12,Jared Goff,DET,QB,28,4,4,92,151,1126,11,3,7,16,2.29,0,0,0,0,,0,1,0,0,1,1,89,88.6,94.6,91.6,23,5,13
13,Jaylen Waddle,MIA,WR,24,4,4,0,0,0,0,0,2,17,8.50,0,35,21,381,18.14,3,0,0,3,,,58,78.8,81.8,68.3,22,4,14
14,Justin Jefferson,MIN,WR,23,4,4,0,0,0,0,0,1,3,3.00,1,42,28,393,14.04,2,0,0,3,,,58,85.6,88.6,71.6,22,5,15
15,T.J. Hockenson,DET,TE,25,4,4,0,0,0,0,0,0,0,,0,30,18,261,14.50,3,0,0,3,1,,46,64.1,67.1,55.1,21,2,16
16,Derrick Henry ,TEN,RB,28,4,4,0,0,0,0,0,76,306,4.03,3,12,8,91,11.38,0,1,0,3,,,58,65.7,68.7,61.7,20,5,17
17,Miles Sanders,PHI,RB,25,4,4,0,0,0,0,0,72,356,4.94,3,9,8,35,4.38,0,0,0,3,,,57,65.1,68.1,61.1,19,6,18
