,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Josh Allen,BUF,QB,26,5,5,133,199,1651,14,4,35,225,6.43,2,0,0,0,,0,4,1,2,,,147,146.5,157.5,150.5,61,1,1
1,Nick Chubb,CLE,RB,27,5,5,0,0,0,0,0,98,593,6.05,7,9,6,37,6.17,0,0,0,7,,,105,111.0,114.0,108.0,58,1,2
2,Travis Kelce,KAN,TE,33,5,5,0,0,0,0,0,1,1,1.00,0,42,33,347,10.52,7,0,0,7,1,,79,111.8,114.8,95.3,48,1,3
3,Lamar Jackson,BAL,QB,25,5,5,95,149,1067,12,5,49,374,7.63,2,0,0,0,,0,1,0,2,,,130,130.1,141.1,135.1,46,2,4
4,Jalen Hurts,PHI,QB,24,5,5,108,159,1359,4,2,68,266,3.91,6,0,0,0,,0,2,0,6,,,129,129.0,137.0,131.0,45,3,5
5,Saquon Barkley,NYG,RB,25,5,5,0,0,0,0,0,97,533,5.49,3,23,18,143,7.94,0,1,0,3,1,,88,105.6,111.6,96.6,41,2,6
6,Cooper Kupp,LAR,WR,29,5,5,0,1,0,0,0,2,24,12.00,1,64,49,527,10.76,4,1,1,5,,,83,132.1,136.1,107.6,41,1,7
7,Patrick Mahomes,KAN,QB,27,5,5,126,189,1398,15,2,17,92,5.41,0,0,0,0,,0,1,0,0,,1,123,123.1,128.1,125.1,39,4,8
8,Stefon Diggs,BUF,WR,29,5,5,0,0,0,0,0,0,0,,0,52,39,508,13.03,5,0,0,5,,,81,119.8,122.8,100.3,38,2,9
9,Derrick Henry ,TEN,RB,28,5,5,0,0,0,0,0,104,408,3.92,5,14,10,121,12.10,0,1,0,5,,,83,92.9,98.9,87.9,37,3,10
10,Austin Ekeler,LAC,RB,27,5,5,0,0,0,0,0,61,313,5.13,3,33,31,214,6.90,2,1,0,5,,,83,113.7,119.7,98.2,37,4,11
11,Josh Jacobs,LVR,RB,24,5,5,0,0,0,0,0,91,490,5.38,3,18,17,129,7.59,0,1,0,3,,,80,96.9,102.9,88.4,34,5,12
12,Justin Jefferson,MIN,WR,23,5,5,1,1,23,0,0,1,3,3.00,1,55,40,547,13.68,2,0,0,3,1,,76,115.9,118.9,95.9,34,3,13
13,Mark Andrews,BAL,TE,27,5,5,0,0,0,0,0,1,3,3.00,0,46,32,349,10.91,4,0,0,4,,,59,91.2,94.2,75.2,30,2,14
14,Davante Adams,LVR,WR,30,5,5,0,0,0,0,0,2,0,0.00,0,54,29,414,14.28,5,1,0,5,,,71,100.4,103.4,85.9,30,4,15
15,Taysom Hill,NOR,TE,32,4,1,1,1,22,1,0,21,228,10.86,5,1,1,2,2.00,0,1,0,5,,,58,58.9,61.9,58.4,28,3,16
16,Jamaal Williams,DET,RB,27,5,2,0,0,0,0,0,77,332,4.31,6,8,5,30,6.00,0,0,0,6,,,72,77.2,80.2,74.7,27,6,17
17,Tyreek Hill,MIA,WR,28,5,5,0,0,0,0,0,4,18,4.50,0,50,38,524,13.79,2,1,0,2,,,66,104.2,107.2,85.2,25,5,18
18,Christian McCaffrey,CAR,RB,26,5,5,0,0,0,0,0,72,324,4.50,2,35,26,188,7.23,1,0,0,3,,,69,95.2,101.2,82.2,24,7,19
19,Clyde Edwards-Helaire,KAN,RB,23,5,5,0,0,0,0,0,50,223,4.46,2,18,16,137,8.56,3,0,0,5,,,66,82.0,88.0,74.0,21,8,20
20,Leonard Fournette,TAM,RB,27,5,5,0,0,0,0,0,74,280,3.78,1,30,26,194,7.46,2,0,0,3,,,65,91.4,97.4,78.4,20,9,21
21,Dameon Pierce,HOU,RB,22,5,5,0,0,0,0,0,86,412,4.79,3,15,13,57,4.38,0,2,0,3,,,65,77.9,80.9,71.4,20,10,22
22,Breece Hall,NYJ,RB,21,5,0,0,0,0,0,0,56,275,4.91,2,29,17,213,12.53,1,1,1,3,,,65,81.8,88.8,73.3,20,11,23
23,Jaylen Waddle,MIA,WR,24,5,5,0,0,0,0,0,2,17,8.50,0,38,24,404,16.83,3,0,0,3,,,60,84.1,87.1,72.1,19,6,24
24,Marquise Brown,ARI,WR,25,5,5,0,0,0,0,0,0,0,,0,55,38,417,10.97,3,0,0,3,,,60,97.7,100.7,78.7,19,7,25
25,Miles Sanders,PHI,RB,25,5,5,0,0,0,0,0,87,414,4.76,3,12,10,41,4.10,0,0,0,3,,,64,73.5,76.5,68.5,18,12,26
26,T.J. Hockenson,DET,TE,25,5,5,0,0,0,0,0,0,0,,0,34,19,267,14.05,3,0,0,3,1,,47,65.7,68.7,56.2,18,4,27
27,Kyler Murray,ARI,QB,25,5,5,141,215,1241,6,3,28,133,4.75,2,0,0,0,,0,2,0,2,1,2,99,98.9,107.9,101.9,17,5,28
