,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Travis Kelce,KAN,TE,33,10,10,0,0,0,0,0,2,5,2.50,0,94,69,855,12.39,11,0,0,11,1,,154,223.0,226.0,188.5,97,1,1
1,Patrick Mahomes,KAN,QB,27,10,10,265,400,3265,28,7,38,238,6.26,1,0,0,0,,0,4,0,1,1,1,262,262.4,275.4,269.4,93,1,2
2,Derrick Henry ,TEN,RB,28,10,10,2,2,4,1,0,230,1010,4.39,10,23,18,199,11.06,0,1,0,10,,,185,203.1,209.1,194.1,89,1,3
3,Josh Allen,BUF,QB,26,10,10,238,368,2930,21,10,71,483,6.80,4,0,0,0,,0,8,3,4,,,248,247.5,266.5,257.5,79,2,4
4,Davante Adams,LVR,WR,30,10,10,0,0,0,0,0,3,-1,-0.33,0,112,64,925,14.45,10,1,0,10,,,152,216.4,219.4,184.4,79,1,5
5,Stefon Diggs,BUF,WR,29,10,10,0,0,0,0,0,0,0,,0,104,76,1033,13.59,8,1,0,8,,,151,227.3,230.3,189.3,78,2,6
6,Nick Chubb,CLE,RB,27,10,10,0,0,0,0,0,174,923,5.30,11,22,16,136,8.50,0,1,1,11,1,,172,187.9,194.9,179.9,76,2,7
7,Jalen Hurts,PHI,QB,24,10,10,198,290,2407,15,3,110,440,4.00,8,0,0,0,,0,7,2,8,1,,240,240.3,251.3,243.3,73,3,8
8,Justin Jefferson,MIN,WR,23,10,10,1,1,23,0,0,2,13,6.50,1,105,72,1093,15.18,4,0,0,5,1,,144,215.5,218.5,179.5,70,3,9
9,Tyreek Hill,MIA,WR,28,10,10,0,0,0,0,0,5,25,5.00,0,106,81,1148,14.17,4,1,0,4,,,141,222.3,225.3,181.8,68,4,10
10,Austin Ekeler,LAC,RB,27,10,10,0,0,0,0,0,123,534,4.34,7,83,69,437,6.33,4,3,1,11,,,161,230.1,237.1,195.6,66,3,11
11,Josh Jacobs,LVR,RB,24,10,10,0,0,0,0,0,183,930,5.08,7,41,34,251,7.38,0,1,0,7,,,160,194.1,200.1,177.1,65,4,12
12,Justin Fields,CHI,QB,23,11,11,136,228,1642,13,8,122,834,6.84,7,0,0,0,,0,13,1,7,,1,227,227.1,242.1,235.1,60,4,13
13,Saquon Barkley,NYG,RB,25,10,10,0,0,0,0,0,213,953,4.47,6,41,31,210,6.77,0,1,0,6,1,,154,185.3,191.3,169.8,60,5,14
14,Joe Burrow,CIN,QB,26,10,10,257,372,2890,22,8,39,146,3.74,4,0,0,0,,0,4,2,4,,2,226,226.2,242.2,234.2,59,5,15
15,Cooper Kupp,LAR,WR,29,9,9,0,1,0,0,0,9,52,5.78,1,98,75,812,10.83,6,2,1,7,,,126,201.4,205.4,163.9,54,5,16
16,Christian McCaffrey,2TM,RB,26,10,9,1,1,34,1,0,132,602,4.56,4,67,54,462,8.56,2,1,0,6,,,148,201.8,207.8,174.8,53,6,17
17,Jaylen Waddle,MIA,WR,24,10,10,0,0,0,0,0,2,17,8.50,0,75,51,878,17.22,6,1,1,6,,,124,174.5,178.5,149.0,51,6,18
18,Jamaal Williams,DET,RB,27,10,6,0,0,0,0,0,159,668,4.20,12,12,9,57,6.33,0,2,1,12,1,,145,153.5,157.5,149.0,50,7,19
