,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Josh Allen,BUF,QB,26,6,6,160,239,1980,17,4,47,257,5.47,2,0,0,0,,0,5,2,2,,,173,172.9,184.9,176.9,74,1,1
1,Nick Chubb,CLE,RB,27,6,6,0,0,0,0,0,110,649,5.90,7,11,7,51,7.29,0,0,0,7,,,112,119.0,122.0,115.5,59,1,2
2,Travis Kelce,KAN,TE,33,6,6,0,0,0,0,0,2,5,2.50,0,52,41,455,11.10,7,0,0,7,1,,90,131.0,134.0,110.5,57,1,3
3,Stefon Diggs,BUF,WR,29,6,6,0,0,0,0,0,0,0,,0,65,49,656,13.39,6,0,0,6,,,102,150.6,153.6,126.1,53,1,4
4,Saquon Barkley,NYG,RB,25,6,6,0,0,0,0,0,119,616,5.18,4,26,21,155,7.38,0,1,0,4,1,,103,124.1,130.1,113.6,51,2,5
5,Lamar Jackson,BAL,QB,25,6,6,112,181,1277,13,6,56,451,8.05,2,0,0,0,,0,3,1,2,,,146,146.2,159.2,152.2,48,2,6
6,Jalen Hurts,PHI,QB,24,6,6,123,184,1514,6,2,77,293,3.81,6,0,0,0,,0,3,0,6,,,146,145.9,153.9,147.9,48,3,7
7,Patrick Mahomes,KAN,QB,27,6,6,151,229,1736,17,4,21,113,5.38,0,0,0,0,,0,1,0,0,,1,143,142.7,152.7,146.7,45,4,8
8,Austin Ekeler,LAC,RB,27,6,6,0,0,0,0,0,75,349,4.65,4,49,41,261,6.37,2,1,0,6,,,97,138.0,144.0,117.5,45,3,9
9,Cooper Kupp,LAR,WR,29,6,6,0,1,0,0,0,4,41,10.25,1,72,56,607,10.84,4,1,1,5,,,93,148.8,152.8,120.8,45,2,10
10,Mark Andrews,BAL,TE,27,6,6,0,0,0,0,0,1,3,3.00,0,57,39,455,11.67,5,0,0,5,,,76,114.8,117.8,95.3,43,2,11
11,Justin Jefferson,MIN,WR,23,6,6,1,1,23,0,0,1,3,3.00,1,63,46,654,14.22,2,0,0,3,1,,87,132.6,135.6,109.6,39,3,12
12,Tyreek Hill,MIA,WR,28,6,6,0,0,0,0,0,4,18,4.50,0,65,50,701,14.02,2,1,0,2,,,84,133.9,136.9,108.9,37,4,13
13,Christian McCaffrey,CAR,RB,26,6,6,0,0,0,0,0,85,393,4.62,2,43,33,277,8.39,1,0,0,3,,,85,118.0,124.0,101.5,34,4,14
14,Derrick Henry ,TEN,RB,28,5,5,0,0,0,0,0,104,408,3.92,5,14,10,121,12.10,0,1,0,5,,,83,92.9,98.9,87.9,32,6,15
15,Breece Hall,NYJ,RB,21,6,1,0,0,0,0,0,76,391,5.14,3,31,19,218,11.47,1,1,1,4,,,83,101.9,108.9,92.4,32,5,16
16,Joe Burrow,CIN,QB,26,6,6,152,228,1616,12,5,27,110,4.07,2,0,0,0,,0,3,1,2,,2,128,127.6,139.6,132.6,31,5,17
17,Taysom Hill,NOR,TE,32,5,1,3,5,38,1,0,26,267,10.27,5,1,1,2,2.00,0,1,0,5,,,62,63.4,66.4,62.9,31,3,18
18,Leonard Fournette,TAM,RB,27,6,6,0,0,0,0,0,95,343,3.61,1,36,32,232,7.25,3,0,0,4,,,82,113.5,119.5,97.5,30,7,19
19,Josh Jacobs,LVR,RB,24,5,5,0,0,0,0,0,91,490,5.38,3,18,17,129,7.59,0,1,0,3,,,80,96.9,102.9,88.4,29,8,20
20,Miles Sanders,PHI,RB,25,6,6,0,0,0,0,0,105,485,4.62,4,13,11,42,3.82,0,0,0,4,,,77,87.7,90.7,82.2,26,9,21
21,Davante Adams,LVR,WR,30,5,5,0,0,0,0,0,2,0,0.00,0,54,29,414,14.28,5,1,0,5,,,71,100.4,103.4,85.9,25,5,22
22,Jaylen Waddle,MIA,WR,24,6,6,0,0,0,0,0,2,17,8.50,0,49,30,533,17.77,3,1,1,3,,,71,101.0,105.0,86.0,25,6,23
23,Dalvin Cook,MIN,RB,27,6,6,0,0,0,0,0,94,450,4.79,4,16,12,80,6.67,0,1,1,4,,,75,87.0,91.0,81.0,24,10,24
24,Ja'Marr Chase,CIN,WR,22,6,6,0,0,0,0,0,4,2,0.50,0,63,39,475,12.18,4,1,1,4,,,70,108.7,112.7,89.2,23,7,25
25,Jamaal Williams,DET,RB,27,5,2,0,0,0,0,0,77,332,4.31,6,8,5,30,6.00,0,0,0,6,,,72,77.2,80.2,74.7,22,11,26
26,Rhamondre Stevenson,NWE,RB,24,6,1,0,0,0,0,0,87,448,5.15,3,21,17,86,5.06,0,0,0,3,,,71,88.4,91.4,79.9,21,12,27
27,Marquise Brown,ARI,WR,25,6,6,0,0,0,0,0,0,0,,0,64,43,485,11.28,3,1,0,3,,,67,109.5,112.5,88.0,20,8,28
28,Clyde Edwards-Helaire,KAN,RB,23,6,6,0,0,0,0,0,59,256,4.34,2,18,16,137,8.56,3,0,0,5,,,69,85.3,91.3,77.3,19,13,29
30,Deebo Samuel,SFO,WR,26,6,5,0,0,0,0,0,23,136,5.91,1,47,27,345,12.78,2,2,1,3,,,64,91.1,98.1,77.6,18,9,30
31,Kyler Murray,ARI,QB,25,6,6,164,252,1463,6,4,38,233,6.13,2,0,0,0,,0,4,1,2,1,2,114,113.8,124.8,117.8,18,6,31
32,Gabriel Davis,BUF,WR,23,5,5,0,0,0,0,0,0,0,,0,26,14,383,27.36,4,0,0,4,,,62,76.3,79.3,69.3,16,11,32
33,A.J. Brown,PHI,WR,25,6,5,0,0,0,0,0,0,0,,0,53,33,503,15.24,2,0,0,2,,,62,95.3,98.3,78.8,16,10,33
34,T.J. Hockenson,DET,TE,25,5,5,0,0,0,0,0,0,0,,0,34,19,267,14.05,3,0,0,3,1,,47,65.7,68.7,56.2,16,4,34
35,Dameon Pierce,HOU,RB,22,5,5,0,0,0,0,0,86,412,4.79,3,15,13,57,4.38,0,2,0,3,,,65,77.9,80.9,71.4,15,14,35
36,Geno Smith,SEA,QB,32,6,6,138,188,1502,9,2,26,125,4.81,1,0,0,0,,0,2,0,1,,,111,110.6,118.6,112.6,15,7,36
37,Aaron Jones,GNB,RB,28,6,6,0,0,0,0,0,70,409,5.84,1,23,17,123,7.24,1,1,1,2,,,63,80.2,87.2,71.7,13,15,37
38,Zach Ertz,ARI,TE,32,6,6,0,0,0,0,0,0,0,,0,51,35,299,8.54,2,0,0,2,1,,44,78.9,81.9,61.4,13,5,38
39,Christian Kirk,JAX,WR,26,6,6,0,0,0,0,0,2,7,3.50,0,44,25,362,14.48,4,1,1,4,,,59,83.9,87.9,71.4,13,12,39
40,Amari Cooper,CLE,WR,28,6,6,0,0,0,0,0,0,0,,0,55,31,348,11.23,4,0,0,4,,,59,89.8,92.8,74.3,13,13,40
41,James Robinson,JAX,RB,24,6,5,0,0,0,0,0,81,340,4.20,3,10,9,46,5.11,1,1,0,4,,,63,71.6,74.6,67.1,13,16,41
