,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Derrick Henry ,TEN,RB,28,8,8,0,0,0,0,0,183,870,4.75,9,18,14,140,10.00,0,1,0,9,,,155,169.0,175.0,162.0,75,1,1
1,Josh Allen,BUF,QB,26,8,8,191,298,2403,19,8,62,392,6.32,4,0,0,0,,0,7,2,4,,,215,215.3,231.3,223.3,74,1,2
2,Nick Chubb,CLE,RB,27,8,8,0,0,0,0,0,149,841,5.64,10,15,10,70,7.00,0,0,0,10,1,,153,163.1,166.1,158.1,73,2,3
3,Travis Kelce,KAN,TE,33,8,8,0,0,0,0,0,2,5,2.50,0,77,57,659,11.56,7,0,0,7,1,,110,167.4,170.4,138.9,64,1,4
4,Patrick Mahomes,KAN,QB,27,8,8,219,331,2605,21,6,27,176,6.52,1,0,0,0,,0,2,0,1,1,1,204,203.8,215.8,209.8,63,2,5
5,Tyreek Hill,MIA,WR,28,9,9,0,0,0,0,0,5,25,5.00,0,100,76,1104,14.53,3,1,0,3,,,131,206.9,209.9,168.9,62,1,6
6,Austin Ekeler,LAC,RB,27,8,8,0,0,0,0,0,98,427,4.36,6,70,60,381,6.35,4,3,1,10,,,139,198.8,205.8,168.8,59,3,7
7,Stefon Diggs,BUF,WR,29,8,8,0,0,0,0,0,0,0,,0,83,60,857,14.28,7,1,0,7,,,128,187.7,190.7,157.7,59,2,8
8,Joe Burrow,CIN,QB,26,9,9,233,333,2535,18,6,35,141,4.03,4,0,0,0,,0,4,2,4,,2,200,199.5,213.5,205.5,59,3,9
9,Cooper Kupp,LAR,WR,29,8,8,0,1,0,0,0,9,52,5.78,1,93,72,813,11.29,6,2,1,7,,,127,198.5,202.5,162.5,58,3,10
10,Lamar Jackson,BAL,QB,25,9,9,160,257,1768,16,6,86,635,7.38,2,0,0,0,,0,4,1,2,,,196,196.2,209.2,202.2,56,4,11
11,Joe Mixon,CIN,RB,26,9,9,0,0,0,0,0,151,585,3.87,6,50,38,272,7.16,2,0,0,8,,,134,171.7,177.7,152.7,55,4,12
12,Jalen Hurts,PHI,QB,24,8,8,163,239,2042,12,2,88,326,3.70,6,0,0,0,,0,5,1,6,1,,194,194.3,203.3,196.3,54,5,13
13,Saquon Barkley,NYG,RB,25,8,8,0,0,0,0,0,163,779,4.78,5,35,28,189,6.75,0,1,0,5,1,,129,156.8,162.8,142.8,50,5,14
14,Jaylen Waddle,MIA,WR,24,9,9,0,0,0,0,0,2,17,8.50,0,70,47,812,17.28,6,1,1,6,,,117,163.9,167.9,140.4,49,4,15
15,Josh Jacobs,LVR,RB,24,8,8,0,0,0,0,0,138,743,5.38,6,29,25,172,6.88,0,1,0,6,,,128,152.5,158.5,140.0,49,6,16
16,Justin Jefferson,MIN,WR,23,8,8,1,1,23,0,0,2,13,6.50,1,84,59,867,14.69,3,0,0,4,1,,115,173.9,176.9,144.4,47,5,17
17,Christian McCaffrey,2TM,RB,26,8,7,1,1,34,1,0,111,525,4.73,3,54,43,356,8.28,2,1,0,5,,,123,166.5,172.5,145.0,45,7,18
18,A.J. Brown,PHI,WR,25,8,7,0,0,0,0,0,0,0,,0,69,43,718,16.70,6,0,0,6,,,108,150.8,153.8,129.3,41,6,19
19,Davante Adams,LVR,WR,30,8,8,0,0,0,0,0,3,-1,-0.33,0,85,48,658,13.71,7,1,0,7,,,108,155.7,158.7,131.7,40,7,20
20,Rhamondre Stevenson,NWE,RB,24,9,3,0,0,0,0,0,129,618,4.79,4,43,35,227,6.49,1,0,0,5,,,115,149.5,155.5,132.0,37,8,21
21,Kyler Murray,ARI,QB,25,9,9,240,360,2168,12,6,59,359,6.08,2,0,0,0,,0,8,2,2,1,3,175,174.6,188.6,180.6,36,6,22
22,Taysom Hill,NOR,TE,32,8,3,7,9,101,1,0,40,343,8.58,5,5,3,16,5.33,1,1,0,6,,,80,82.9,85.9,81.4,35,2,23
23,Mark Andrews,BAL,TE,27,8,8,0,0,0,0,0,2,7,3.50,0,64,42,488,11.62,5,0,0,5,,,80,121.5,124.5,100.5,35,3,24
24,Travis Etienne,JAX,RB,23,9,4,0,0,0,0,0,120,680,5.67,4,28,19,174,9.16,0,3,1,4,1,,109,128.4,135.4,118.9,32,9,25
25,Jamaal Williams,DET,RB,27,8,5,0,0,0,0,0,126,545,4.33,8,12,9,57,6.33,0,2,1,8,1,,108,117.2,121.2,112.7,31,10,26
26,Dalvin Cook,MIN,RB,27,8,8,0,0,0,0,0,131,608,4.64,5,28,19,119,6.26,1,1,1,6,,,107,125.7,132.7,116.2,29,11,27
27,Miles Sanders,PHI,RB,25,8,8,0,0,0,0,0,131,656,5.01,6,13,11,42,3.82,0,0,0,6,,,106,116.8,119.8,111.3,28,12,28
28,Ja'Marr Chase,CIN,WR,22,7,7,0,0,0,0,0,4,2,0.50,0,74,47,605,12.87,6,1,1,6,,,95,141.7,145.7,118.2,28,8,29
30,Justin Fields,CHI,QB,23,9,9,110,187,1322,10,6,91,602,6.62,4,0,0,0,,0,11,1,4,,1,165,165.1,178.1,171.1,27,7,30
31,Kenneth Walker III,SEA,RB,22,8,4,0,0,0,0,0,111,570,5.14,7,16,12,48,4.00,0,0,0,7,,,104,115.8,118.8,109.8,27,13,31
