,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Nick Chubb,CLE,RB,27,9,9,0,0,0,0,0,160,904,5.65,11,19,13,88,6.77,0,1,1,11,1,,165,178.2,182.2,171.7,80,1,1
1,Patrick Mahomes,KAN,QB,27,9,9,245,366,2936,25,7,34,215,6.32,1,0,0,0,,0,3,0,1,1,1,235,234.9,247.9,241.9,77,1,2
2,Josh Allen,BUF,QB,26,9,9,220,341,2733,20,10,68,476,7.00,4,0,0,0,,0,8,3,4,,,235,234.9,253.9,244.9,77,2,3
3,Derrick Henry ,TEN,RB,28,9,9,0,0,0,0,0,202,923,4.57,9,21,16,154,9.63,0,1,0,9,,,162,177.7,183.7,169.7,77,2,4
4,Travis Kelce,KAN,TE,33,9,9,0,0,0,0,0,2,5,2.50,0,84,63,740,11.75,8,0,0,8,1,,125,187.5,190.5,156.0,74,1,5
5,Tyreek Hill,MIA,WR,28,10,10,0,0,0,0,0,5,25,5.00,0,106,81,1148,14.17,4,1,0,4,,,141,222.3,225.3,181.8,70,1,6
6,Stefon Diggs,BUF,WR,29,9,9,0,0,0,0,0,0,0,,0,99,72,985,13.68,7,1,0,7,,,141,212.5,215.5,176.5,70,2,7
7,Justin Jefferson,MIN,WR,23,9,9,1,1,23,0,0,2,13,6.50,1,100,69,1060,15.36,4,0,0,5,1,,140,209.2,212.2,174.7,69,3,8
8,Saquon Barkley,NYG,RB,25,9,9,0,0,0,0,0,198,931,4.70,6,36,29,197,6.79,0,1,0,6,1,,151,179.8,185.8,165.3,66,3,9
9,Austin Ekeler,LAC,RB,27,9,9,0,0,0,0,0,104,451,4.34,6,81,67,420,6.27,4,3,1,10,,,145,212.1,219.1,178.6,61,4,10
10,Josh Jacobs,LVR,RB,24,9,9,0,0,0,0,0,159,821,5.16,7,37,31,200,6.45,0,1,0,7,,,144,175.1,181.1,159.6,60,5,11
11,Jalen Hurts,PHI,QB,24,9,9,180,265,2217,14,3,94,354,3.77,7,0,0,0,,0,5,1,7,1,,216,216.1,226.1,219.1,59,3,12
