,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
37,T.J. Hockenson,DET,TE,25,7,7,0,0,0,0,0,0,0,,0,43,26,395,15.19,3,0,0,3,1,,60,85.5,88.5,72.5,17,4,37
38,Alvin Kamara,NOR,RB,27,6,5,0,0,0,0,0,95,413,4.35,1,45,33,287,8.70,2,2,2,3,,,84,117.0,125.0,100.5,16,18,38
39,Tyler Boyd,CIN,WR,28,8,6,1,1,23,0,0,0,0,,0,43,32,493,15.41,4,0,0,4,1,,76,108.2,111.2,92.2,16,10,39
40,Mike Evans,TAM,WR,29,7,7,0,0,0,0,0,0,0,,0,59,39,577,14.79,3,0,0,3,,,76,114.7,117.7,95.2,16,11,40
41,Joe Mixon,CIN,RB,26,8,8,0,0,0,0,0,129,432,3.35,2,45,34,214,6.29,1,0,0,3,,,83,116.6,122.6,99.6,15,19,41
42,CeeDee Lamb,DAL,WR,23,8,8,0,0,0,0,0,5,12,2.40,0,73,42,556,13.24,3,0,0,3,,,75,116.8,119.8,95.8,15,12,42
43,Zach Ertz,ARI,TE,32,8,8,0,0,0,0,0,0,0,,0,60,41,354,8.63,3,0,0,3,2,,57,98.4,101.4,77.9,15,5,43
44,Brandon Aiyuk,SFO,WR,24,8,8,0,0,0,0,0,1,7,7.00,0,55,38,483,12.71,4,0,0,4,,,73,111.0,114.0,92.0,13,13,44
45,Christian Kirk,JAX,WR,26,8,8,0,1,0,0,0,3,12,4.00,0,61,35,498,14.23,4,1,1,4,,,73,108.0,112.0,90.5,13,14,45
46,Kenneth Walker III,SEA,RB,22,7,3,0,0,0,0,0,85,461,5.42,5,12,9,28,3.11,0,0,0,5,,,79,87.9,90.9,83.4,11,20,46
47,Clyde Edwards-Helaire,KAN,RB,23,7,6,0,0,0,0,0,65,288,4.43,3,19,16,137,8.56,3,0,0,6,,,79,94.5,100.5,86.5,11,21,47
48,Deebo Samuel,SFO,WR,26,7,6,0,0,0,0,0,24,138,5.75,1,54,32,387,12.09,2,2,1,3,,,69,100.5,107.5,84.5,9,15,48
49,Tee Higgins,CIN,WR,23,8,7,0,0,0,0,0,0,0,,0,50,34,504,14.82,3,0,0,3,,,68,102.4,105.4,85.4,9,16,49
50,Terry McLaurin,WAS,WR,27,8,8,0,0,0,0,0,4,11,2.75,0,53,33,553,16.76,2,1,0,2,,,68,101.4,104.4,84.9,9,17,50
51,Antonio Gibson ,WAS,RB,24,8,6,0,0,0,0,0,78,292,3.74,2,35,29,228,7.86,2,0,0,4,,,76,105.0,111.0,90.5,9,22,51
52,Mike Williams,LAC,WR,28,7,7,0,0,0,0,0,0,0,,0,59,37,495,13.38,3,0,0,3,,,68,104.5,107.5,86.0,8,18,52
53,Tyler Lockett,SEA,WR,30,8,8,0,0,0,0,0,0,0,,0,61,46,531,11.54,3,2,2,3,,,67,113.1,118.1,90.1,7,19,53
54,Devin Duvernay,BAL,WR,25,8,8,0,0,0,0,0,7,55,7.86,1,32,24,313,13.04,3,0,0,5,,,67,90.8,93.8,78.8,7,20,54
55,Chris Olave,NOR,WR,22,7,5,0,0,0,0,0,0,0,,0,63,37,547,14.78,2,1,1,2,1,,67,103.7,107.7,85.2,7,21,55
56,Marquise Brown,ARI,WR,25,6,6,0,0,0,0,0,0,0,,0,64,43,485,11.28,3,1,0,3,,,67,109.5,112.5,88.0,7,22,56
57,Tyler Conklin,NYJ,TE,27,8,8,0,0,0,0,0,1,1,1.00,0,48,32,309,9.66,3,2,0,3,,,49,81.0,84.0,65.0,7,6,57
