,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Nick Chubb,CLE,RB,27,7,7,0,0,0,0,0,126,740,5.87,8,14,9,67,7.44,0,0,0,8,,,129,137.7,140.7,133.2,64,1,1
1,Josh Allen,BUF,QB,26,6,6,160,239,1980,17,4,47,257,5.47,2,0,0,0,,0,5,2,2,,,173,172.9,184.9,176.9,64,1,2
2,Travis Kelce,KAN,TE,33,7,7,0,0,0,0,0,2,5,2.50,0,60,47,553,11.77,7,0,0,7,1,,100,146.8,149.8,123.3,61,1,3
3,Patrick Mahomes,KAN,QB,27,7,7,176,263,2159,20,5,21,113,5.38,0,0,0,0,,0,2,0,0,,1,170,169.7,180.7,174.7,61,2,4
4,Joe Burrow,CIN,QB,26,7,7,186,270,2097,15,5,30,130,4.33,3,0,0,0,,0,3,1,3,,2,167,166.9,178.9,171.9,58,3,5
5,Austin Ekeler,LAC,RB,27,7,7,0,0,0,0,0,84,380,4.52,5,61,53,357,6.74,3,2,0,8,,,122,174.7,180.7,148.2,58,2,6
6,Saquon Barkley,NYG,RB,25,7,7,0,0,0,0,0,143,726,5.08,4,30,25,180,7.20,0,1,0,4,1,,117,141.6,147.6,129.1,53,3,7
7,Josh Jacobs,LVR,RB,24,6,6,0,0,0,0,0,111,633,5.70,6,22,20,141,7.05,0,1,0,6,,,113,133.4,139.4,123.4,50,4,8
8,Lamar Jackson,BAL,QB,25,7,7,121,197,1397,13,6,66,510,7.73,2,0,0,0,,0,3,1,2,,,157,156.9,169.9,162.9,49,4,9
9,Stefon Diggs,BUF,WR,29,6,6,0,0,0,0,0,0,0,,0,65,49,656,13.39,6,0,0,6,,,102,150.6,153.6,126.1,47,1,10
10,Ja'Marr Chase,CIN,WR,22,7,7,0,0,0,0,0,4,2,0.50,0,74,47,605,12.87,6,1,1,6,,,95,141.7,145.7,118.2,40,2,11
11,Mark Andrews,BAL,TE,27,7,7,0,0,0,0,0,2,7,3.50,0,59,39,455,11.67,5,0,0,5,,,76,115.2,118.2,95.7,39,2,12
12,Cooper Kupp,LAR,WR,29,6,6,0,1,0,0,0,4,41,10.25,1,72,56,607,10.84,4,1,1,5,,,93,148.8,152.8,120.8,39,3,13
13,Jalen Hurts,PHI,QB,24,6,6,123,184,1514,6,2,77,293,3.81,6,0,0,0,,0,3,0,6,,,146,145.9,153.9,147.9,38,5,14
14,Tyreek Hill,MIA,WR,28,7,7,0,0,0,0,0,4,18,4.50,0,78,57,773,13.56,2,1,0,2,,,91,148.1,151.1,119.6,37,4,15
15,Taysom Hill,NOR,TE,32,6,2,5,7,86,1,0,29,276,9.52,5,2,2,5,2.50,1,1,0,6,,,72,73.5,76.5,72.5,35,3,16
16,Derrick Henry ,TEN,RB,28,6,6,0,0,0,0,0,134,536,4.00,5,17,13,131,10.08,0,1,0,5,,,97,109.7,115.7,103.2,34,5,17
