,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
0,Josh Jacobs,LVR,RB,24,12,12,0,0,0,0,0,242,1303,5.38,10,50,42,331,7.88,0,2,1,10,,,221,263.4,270.4,242.4,106,1,1
1,Travis Kelce,KAN,TE,33,12,12,0,0,0,0,0,2,5,2.50,0,108,77,968,12.57,12,1,1,12,1,,169,246.3,250.3,207.8,106,1,2
2,Davante Adams,LVR,WR,30,12,12,0,0,0,0,0,3,-1,-0.33,0,135,79,1176,14.89,12,1,0,12,,,190,268.5,271.5,229.0,103,1,3
3,Jalen Hurts,PHI,QB,24,12,12,243,357,2940,20,3,132,609,4.61,9,0,0,0,,0,9,2,9,1,,305,304.5,315.5,307.5,102,1,4
4,Patrick Mahomes,KAN,QB,27,12,12,308,469,3808,30,8,44,283,6.43,2,0,0,0,,0,4,0,2,1,1,301,300.6,314.6,308.6,98,2,5
5,Stefon Diggs,BUF,WR,29,12,12,0,0,0,0,0,0,0,,0,128,91,1202,13.21,10,1,0,10,,,180,271.2,274.2,225.7,95,2,6
6,Josh Allen,BUF,QB,26,12,12,284,443,3406,25,11,89,581,6.53,5,0,0,0,,0,10,4,5,,,294,294.3,315.3,305.3,92,3,7
7,Justin Jefferson,MIN,WR,23,12,12,2,2,34,0,0,4,24,6.00,1,127,88,1277,14.51,6,0,0,7,1,,175,263.5,266.5,219.5,90,3,8
8,Derrick Henry ,TEN,RB,28,12,12,2,2,4,1,0,258,1078,4.18,10,29,23,286,12.43,0,2,0,10,,,201,223.6,229.6,212.1,86,2,9
9,Tyreek Hill,MIA,WR,28,12,12,0,0,0,0,0,6,30,5.00,0,129,96,1379,14.36,5,1,0,5,,,171,266.9,269.9,218.9,86,4,10
10,Nick Chubb,CLE,RB,27,12,12,0,0,0,0,0,217,1119,5.16,12,24,17,152,8.94,0,1,1,12,1,,199,216.1,223.1,207.6,85,3,11
11,Joe Burrow,CIN,QB,26,12,12,304,440,3446,25,8,59,224,3.80,5,0,0,0,,0,4,2,5,,2,274,274.2,290.2,282.2,73,4,12
12,Austin Ekeler,LAC,RB,27,12,12,0,0,0,0,0,138,589,4.27,7,104,85,564,6.64,5,4,2,12,,,183,268.3,276.3,225.8,70,4,13
13,Saquon Barkley,NYG,RB,25,12,12,0,0,0,0,0,242,1055,4.36,8,52,40,241,6.03,0,1,0,8,1,,180,219.6,225.6,199.6,67,5,14
14,A.J. Brown,PHI,WR,25,12,11,0,0,0,0,0,0,0,,0,96,61,950,15.57,9,2,2,9,,,145,206.0,211.0,175.5,62,5,15
15,Christian McCaffrey,2TM,RB,26,12,11,1,1,34,1,0,160,700,4.38,4,83,66,559,8.47,3,1,0,7,,,173,239.3,245.3,206.3,61,6,16
16,Tony Pollard,DAL,RB,25,12,4,0,0,0,0,0,148,852,5.76,8,36,25,259,10.36,2,0,0,10,,,171,196.1,202.1,183.6,59,7,17
17,Jamaal Williams,DET,RB,27,12,6,0,0,0,0,0,188,769,4.09,14,12,9,57,6.33,0,3,2,14,1,,165,173.6,178.6,169.1,52,8,18
18,CeeDee Lamb,DAL,WR,23,12,12,0,0,0,0,0,9,46,5.11,0,111,69,928,13.45,6,0,0,6,,,133,202.4,205.4,167.9,51,6,19
19,Jaylen Waddle,MIA,WR,24,12,12,0,0,0,0,0,2,17,8.50,0,90,57,972,17.05,6,1,1,6,,,133,189.9,193.9,161.4,50,7,20
20,Justin Fields,CHI,QB,23,12,12,156,253,1896,13,10,128,905,7.07,8,0,0,0,,0,13,1,8,,1,246,246.3,263.3,256.3,47,5,21
21,Amon-Ra St. Brown,DET,WR,23,11,11,0,0,0,0,0,6,83,13.83,0,100,76,830,10.92,6,0,0,6,,,127,203.3,206.3,165.3,45,8,22
22,Cooper Kupp,LAR,WR,29,9,9,0,1,0,0,0,9,52,5.78,1,98,75,812,10.83,6,2,1,7,,,126,201.4,205.4,163.9,44,9,23
23,Dalvin Cook,MIN,RB,27,12,12,0,0,0,0,0,198,927,4.68,7,42,28,157,5.61,1,1,1,8,,,154,182.4,189.4,168.4,43,9,24
24,Miles Sanders,PHI,RB,25,12,10,0,0,0,0,0,187,924,4.94,9,20,17,74,4.35,0,0,0,9,,,154,170.8,173.8,162.3,42,10,25
25,Aaron Jones,GNB,RB,28,13,13,0,0,0,0,0,164,847,5.16,2,58,48,328,6.83,4,3,1,6,1,,154,201.5,208.5,177.5,42,11,26
26,Christian Kirk,JAX,WR,26,12,12,0,1,0,0,0,4,7,1.75,0,99,62,829,13.37,7,1,1,7,,,124,185.6,189.6,154.6,41,10,27
27,Amari Cooper,CLE,WR,28,12,12,0,1,0,0,1,0,0,,0,102,61,832,13.64,7,0,0,7,,,123,184.2,188.2,154.7,41,11,28
28,Taysom Hill,NOR,TE,32,12,7,9,15,136,1,0,61,419,6.87,5,11,7,66,9.43,2,1,0,7,,,100,106.9,109.9,103.4,40,2,29
30,Tyler Lockett,SEA,WR,30,12,12,0,0,0,0,0,0,0,,0,90,66,836,12.67,7,2,2,7,,,122,187.6,192.6,154.6,40,12,30
31,Mark Andrews,BAL,TE,27,11,11,0,0,0,0,0,3,8,2.67,0,86,56,654,11.68,5,1,0,5,1,,98,154.2,157.2,126.2,39,3,31
32,Lamar Jackson,BAL,QB,25,12,12,203,326,2242,17,7,112,764,6.82,3,0,0,0,,0,5,2,3,,1,236,236.1,251.1,243.1,37,6,32
33,Tee Higgins,CIN,WR,23,12,11,0,0,0,0,0,0,0,,0,85,60,861,14.35,5,0,0,5,,,116,176.1,179.1,146.1,34,13,33
34,Terry McLaurin,WAS,WR,27,13,13,0,0,0,0,0,6,17,2.83,0,98,62,945,15.24,3,1,0,3,,,114,176.2,179.2,145.2,33,14,34
35,Rhamondre Stevenson,NWE,RB,24,12,4,0,0,0,0,0,161,734,4.56,4,67,56,383,6.84,1,1,0,5,,,142,197.7,203.7,169.7,31,12,35
36,Joe Mixon,CIN,RB,26,10,10,0,0,0,0,0,158,605,3.83,6,53,41,314,7.66,2,0,0,8,,,140,180.9,186.9,160.4,29,13,36
37,T.J. Hockenson,2TM,TE,25,12,11,0,0,0,0,0,0,0,,0,83,56,620,11.07,4,0,0,4,1,,88,144.0,147.0,116.0,29,4,37
38,Geno Smith,SEA,QB,32,12,12,285,392,3169,22,6,52,243,4.67,1,0,0,0,,0,6,4,1,,,225,225.1,241.1,231.1,27,7,38
39,Chris Olave,NOR,WR,22,12,7,0,0,0,0,0,0,0,,0,98,60,887,14.78,3,1,1,3,1,,107,166.7,170.7,136.7,26,15,39
