,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Kenneth Walker III, RB",SEA,W 37-23 at LAC,23,168,7.3,2,74,0,
3,2,"Josh Jacobs, RB",LV,W 38-20 vs. HOU,20,143,7.2,3,15,0,
4,3,"Derrick Henry, RB",TEN,W 19-10 vs. IND,30,128,4.3,0,23,0,
5,4,"D'Onta Foreman, RB",CAR,W 21-3 vs. TB,15,118,7.9,0,60,0,
6,5,"Travis Etienne Jr., RB",JAX,L 23-17 vs. NYG,14,114,8.1,1,49,1,
7,6,"Saquon Barkley, RB",NYG,W 23-17 at JAX,24,110,4.6,0,20,0,
8,7,"Daniel Jones, QB",NYG,W 23-17 at JAX,11,107,9.7,1,24,0,
9,8,"Eno Benjamin, RB",ARI,W 42-34 vs. NO,12,92,7.7,1,45,0,
10,9,"Dameon Pierce, RB",HOU,L 38-20 at LV,20,92,4.6,0,22,0,
11,10,"Nick Chubb, RB",CLE,L 23-20 at BAL,16,91,5.7,1,22,0,
12,11,"Tony Pollard, RB",DAL,W 24-6 vs. DET,12,83,6.9,0,28,0,
13,12,"Justin Fields, QB",CHI,W 33-14 at NE,14,82,5.9,1,20,0,
14,13,"Jamaal Williams, RB",DET,L 24-6 at DAL,15,79,5.3,0,20,1,
15,14,"Raheem Mostert, RB",MIA,W 16-10 vs. PIT,16,79,4.9,0,12,0,
16,15,"Brian Robinson Jr., RB",WSH,W 23-21 vs. GB,20,73,3.7,0,24,0,
17,16,"Breece Hall, RB",NYJ,W 16-9 at DEN,4,72,18.0,1,62,0,
18,17,"Gus Edwards, RB",BAL,W 23-20 vs. CLE,16,66,4.1,2,12,0,
19,18,"Najee Harris, RB",PIT,L 16-10 at MIA,17,65,3.8,0,16,0,
20,19,"Chuba Hubbard, RB",CAR,W 21-3 vs. TB,9,63,7.0,1,17,0,
21,20,"Khalil Herbert, RB",CHI,W 33-14 at NE,12,62,5.2,0,13,0,
22,21,"David Montgomery, RB",CHI,W 33-14 at NE,15,62,4.1,1,12,0,
23,22,"Lamar Jackson, QB",BAL,W 23-20 vs. CLE,10,59,5.9,0,11,0,
24,23,"Antonio Gibson, RB",WSH,W 23-21 vs. GB,10,59,5.9,0,20,0,
25,24,"Jonathan Taylor, RB",IND,L 19-10 at TEN,10,58,5.8,0,14,0,
26,25,"Joe Mixon, RB",CIN,W 35-17 vs. ATL,17,58,3.4,1,11,0,
27,26,"Ezekiel Elliott, RB",DAL,W 24-6 vs. DET,15,57,3.8,2,18,0,
28,27,"Jeff Wilson Jr., RB",SF,L 44-23 vs. KC,7,54,7.7,0,15,0,
29,28,"Tyler Allgeier, RB",ATL,L 35-17 at CIN,16,50,3.1,1,9,0,
30,29,"Alvin Kamara, RB",NO,L 42-34 at ARI,11,49,4.5,0,17,0,
31,30,"Isiah Pacheco, RB",KC,W 44-23 at SF,8,43,5.4,0,17,0,
