,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Josh Jacobs, RB",LV,W 27-20 vs. LAC,26,144,5.5,1,20,1,
3,2,"Samaje Perine, RB",CIN,W 27-24 vs. KC,21,106,5.0,0,10,0,
4,3,"Brian Robinson Jr., RB",WSH,T 20-20 at NYG,21,96,4.6,0,16,0,
5,4,"AJ Dillon, RB",GB,W 28-19 at CHI,18,93,5.2,1,21,0,
6,5,"Tony Pollard, RB",DAL,W 54-19 vs. IND,12,91,7.6,2,30,0,
7,6,"Zonovan Knight, RB",NYJ,L 27-22 at MIN,15,90,6.0,0,48,0,
8,7,"Najee Harris, RB",PIT,W 19-16 at ATL,17,86,5.1,0,14,0,
9,8,"Dalvin Cook, RB",MIN,W 27-22 vs. NYJ,20,86,4.3,1,21,0,
10,9,"Jonathan Taylor, RB",IND,L 54-19 at DAL,21,82,3.9,0,19,0,
11,10,"Nick Chubb, RB",CLE,W 27-14 at HOU,17,80,4.7,0,21,0,
12,11,"Ezekiel Elliott, RB",DAL,W 54-19 vs. IND,17,77,4.5,1,22,0,
13,12,"Dameon Pierce, RB",HOU,L 27-14 vs. CLE,18,73,4.1,0,11,0,
14,13,"Justin Fields, QB",CHI,L 28-19 vs. GB,6,71,11.8,1,55,0,
15,14,"Daniel Jones, QB",NYG,T 20-20 vs. WSH,12,71,5.9,0,21,1,
16,15,"Isiah Pacheco, RB",KC,L 27-24 at CIN,14,66,4.7,1,16,0,
17,16,"Christian McCaffrey, RB",SF,W 33-17 vs. MIA,17,66,3.9,0,30,0,
18,17,"James Cook, RB",BUF,W 24-10 at NE,14,64,4.6,0,28,0,
19,18,"Saquon Barkley, RB",NYG,T 20-20 vs. WSH,18,63,3.5,1,21,0,
20,19,"D'Andre Swift, RB",DET,W 40-14 vs. JAX,14,62,4.4,1,10,0,
21,20,"David Montgomery, RB",CHI,L 28-19 vs. GB,14,61,4.4,1,9,0,
22,21,"Cordarrelle Patterson, RB",ATL,L 19-16 vs. PIT,11,60,5.5,0,22,0,
23,22,"Cam Akers, RB",LAR,L 27-23 vs. SEA,17,60,3.5,2,13,0,
24,23,"Kareem Hunt, RB",CLE,W 27-14 at HOU,9,56,6.2,0,15,0,
25,24,"Rhamondre Stevenson, RB",NE,L 24-10 vs. BUF,10,54,5.4,0,16,0,
26,25,"Travis Etienne Jr., RB",JAX,L 40-14 at DET,13,54,4.2,0,13,1,
27,26,"Tyler Allgeier, RB",ATL,L 19-16 vs. PIT,10,52,5.2,0,20,0,
28,27,"Jerick McKinnon, RB",KC,L 27-24 at CIN,8,51,6.4,0,14,0,
29,28,"Jordan Mason, RB",SF,W 33-17 vs. MIA,8,51,6.4,0,19,0,
30,29,"Devin Singletary, RB",BUF,W 24-10 at NE,13,51,3.9,1,11,0,
31,30,"Leonard Fournette, RB",TB,W 17-16 vs. NO,10,49,4.9,0,10,0,
