,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Saquon Barkley, RB",NYG,W 24-16 vs. HOU,35,152,4.3,1,27,0,
3,2,"Justin Fields, QB",CHI,L 31-30 vs. DET,13,147,11.3,2,67,0,
4,3,"Jonathan Taylor, RB",IND,W 25-20 at LV,22,147,6.7,1,66,0,
5,4,"Aaron Jones, RB",GB,W 31-28 vs. DAL,24,138,5.8,1,30,0,
6,5,"D'Onta Foreman, RB",CAR,W 25-15 vs. ATL,31,130,4.2,1,23,0,
7,6,"Dalvin Cook, RB",MIN,W 33-30 at BUF,14,119,8.5,1,81,0,
8,7,"Jeff Wilson Jr., RB",MIA,W 39-17 vs. CLE,17,119,7.0,1,20,0,
9,8,"Tony Pollard, RB",DAL,L 31-28 at GB,22,115,5.2,1,14,0,
10,9,"Rachaad White, RB",TB,W 21-16 vs. SEA,22,105,4.8,0,29,0,
11,10,"Najee Harris, RB",PIT,W 20-10 vs. NO,20,99,5.0,0,36,0,
12,11,"Dameon Pierce, RB",HOU,L 24-16 at NYG,17,94,5.5,0,44,1,
13,12,"Elijah Mitchell, RB",SF,W 22-16 vs. LAC,18,89,4.9,0,12,0,
14,13,"Brian Robinson Jr., RB",WSH,W 32-21 at PHI,26,86,3.3,1,11,0,
15,14,"Josh Allen, QB",BUF,L 33-30 vs. MIN,6,84,14.0,0,25,1,
16,15,"Isiah Pacheco, RB",KC,W 27-17 vs. JAX,16,82,5.1,0,13,1,
17,16,"Josh Jacobs, RB",LV,L 25-20 vs. IND,21,78,3.7,1,22,0,
18,17,"James Conner, RB",ARI,W 27-17 at LAR,21,69,3.3,2,9,0,
19,18,"Raheem Mostert, RB",MIA,W 39-17 vs. CLE,8,65,8.1,1,24,0,
20,19,"AJ Dillon, RB",GB,W 31-28 vs. DAL,13,65,5.0,0,17,0,
21,20,"Nick Chubb, RB",CLE,L 39-17 at MIA,11,63,5.7,1,33,1,
22,21,"Jamaal Williams, RB",DET,W 31-30 at CHI,16,59,3.7,1,13,0,
23,22,"Khalil Herbert, RB",CHI,L 31-30 vs. DET,10,57,5.7,0,12,0,
24,23,"Leonard Fournette, RB",TB,W 21-16 vs. SEA,14,57,4.1,1,10,0,
25,24,"Miles Sanders, RB",PHI,L 32-21 vs. WSH,12,54,4.5,0,8,0,
26,25,"Derrick Henry, RB",TEN,W 17-10 vs. DEN,19,53,2.8,0,10,0,
27,26,"Kenny Pickett, QB",PIT,W 20-10 vs. NO,8,51,6.4,1,23,0,
28,27,"Devin Singletary, RB",BUF,L 33-30 vs. MIN,13,47,3.6,2,21,1,
29,28,"Travis Etienne Jr., RB",JAX,L 27-17 at KC,11,45,4.1,0,10,0,
30,29,"Antonio Gibson, RB",WSH,W 32-21 at PHI,14,44,3.1,1,7,0,
31,30,"Marcus Mariota, QB",ATL,L 25-15 at CAR,3,43,14.3,0,26,0,
