,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Rashaad Penny, RB",SEA,W 48-45 at DET,17,151,8.9,2,41,0,
3,2,"Saquon Barkley, RB",NYG,W 20-12 vs. CHI,31,146,4.7,0,29,0,
4,3,"Josh Jacobs, RB",LV,W 32-23 vs. DEN,28,144,5.1,2,43,0,
5,4,"Miles Sanders, RB",PHI,W 29-21 vs. JAX,27,134,5.0,2,35,0,
6,5,"Dameon Pierce, RB",HOU,L 34-24 vs. LAC,14,131,9.4,1,75,0,
7,6,"Nick Chubb, RB",CLE,L 23-20 at ATL,19,118,6.2,1,28,0,
8,7,"Derrick Henry, RB",TEN,W 24-17 at IND,22,114,5.2,1,19,0,
9,8,"Aaron Jones, RB",GB,W 27-24 vs. NE,16,110,6.9,0,20,0,
10,9,"Jamaal Williams, RB",DET,L 48-45 vs. SEA,19,108,5.7,2,51,0,
11,10,"Clyde Edwards-Helaire, RB",KC,W 41-31 at TB,19,92,4.8,1,20,0,
12,11,"Damien Harris, RB",NE,L 27-24 at GB,18,86,4.8,1,14,0,
13,12,"Tyler Allgeier, RB",ATL,W 23-20 vs. CLE,10,84,8.4,0,42,0,
14,13,"Khalil Herbert, RB",CHI,L 20-12 at NYG,19,77,4.1,0,15,0,
15,14,"Dalvin Cook, RB",MIN,W 28-25 at NO,20,76,3.8,0,14,0,
16,15,"Jeff Wilson Jr., RB",SF,W 24-9 vs. LAR,18,74,4.1,1,32,0,
17,16,"Najee Harris, RB",PIT,L 24-20 vs. NYJ,18,74,4.1,0,16,0,
18,17,"Lamar Jackson, QB",BAL,L 23-20 vs. BUF,11,73,6.6,0,18,0,
19,18,"AJ Dillon, RB",GB,W 27-24 vs. NE,17,73,4.3,0,13,0,
20,19,"Josh Allen, QB",BUF,W 23-20 at BAL,11,70,6.4,1,20,0,
21,20,"Raheem Mostert, RB",MIA,L 27-15 at CIN,15,69,4.6,0,25,0,
22,21,"Daniel Jones, QB",NYG,W 20-12 vs. CHI,6,68,11.3,2,21,0,
23,22,"Rhamondre Stevenson, RB",NE,L 27-24 at GB,14,66,4.7,0,17,0,
24,23,"Breece Hall, RB",NYJ,W 24-20 at PIT,17,66,3.9,1,16,0,
25,24,"Isiah Pacheco, RB",KC,W 41-31 at TB,11,63,5.7,0,9,0,
26,25,"Joe Mixon, RB",CIN,W 27-15 vs. MIA,24,61,2.5,1,7,0,
27,26,"Austin Ekeler, RB",LAC,W 34-24 at HOU,13,60,4.6,2,20,0,
28,27,"Latavius Murray, RB",NO,L 28-25 vs. MIN,11,57,5.2,1,10,0,
29,28,"Caleb Huntley, RB",ATL,W 23-20 vs. CLE,10,56,5.6,1,14,0,
30,29,"James Conner, RB",ARI,W 26-16 at CAR,15,55,3.7,0,8,0,
31,30,"Justin Fields, QB",CHI,L 20-12 at NYG,7,52,7.4,0,16,1,
