,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Khalil Herbert, RB",CHI,W 23-20 vs. HOU,20,157,7.9,2,52,0,
3,2,"Cordarrelle Patterson, RB",ATL,W 27-23 at SEA,17,141,8.3,1,40,0,
4,3,"Nick Chubb, RB",CLE,W 29-17 vs. PIT,23,113,4.9,1,36,0,
5,4,"Christian McCaffrey, RB",CAR,W 22-14 vs. NO,25,108,4.3,0,18,0,
6,5,"Lamar Jackson, QB",BAL,W 37-26 at NE,11,107,9.7,1,38,0,
7,6,"Tony Pollard, RB",DAL,W 23-16 at NYG,13,105,8.1,0,46,0,
8,7,"James Robinson, RB",JAX,W 38-10 at LAC,17,100,5.9,1,50,0,
9,8,"Dalvin Cook, RB",MIN,W 28-24 vs. DET,17,96,5.6,1,13,1,
10,9,"Jamaal Williams, RB",DET,L 28-24 at MIN,20,87,4.4,2,15,0,
11,10,"Derrick Henry, RB",TEN,W 24-22 vs. LV,20,85,4.3,1,24,0,
12,11,"Saquon Barkley, RB",NYG,L 23-16 vs. DAL,14,81,5.8,1,36,0,
13,12,"Dameon Pierce, RB",HOU,L 23-20 at CHI,20,80,4.0,1,24,0,
14,13,"Daniel Jones, QB",NYG,L 23-16 vs. DAL,9,79,8.8,0,17,0,
15,14,"Jeff Wilson Jr., RB",SF,L 11-10 at DEN,12,75,6.3,0,37,1,
16,15,"Rhamondre Stevenson, RB",NE,L 37-26 vs. BAL,12,73,6.1,1,18,0,
17,16,"Ezekiel Elliott, RB",DAL,W 23-16 at NYG,15,73,4.9,1,27,0,
18,17,"Jonathan Taylor, RB",IND,W 20-17 vs. KC,21,71,3.4,0,13,0,
19,18,"Josh Jacobs, RB",LV,L 24-22 at TEN,13,66,5.1,0,13,0,
20,19,"Rashaad Penny, RB",SEA,L 27-23 vs. ATL,14,66,4.7,0,14,0,
21,20,"Cam Akers, RB",LAR,W 20-12 at ARI,12,61,5.1,1,14,1,
22,21,"Alvin Kamara, RB",NO,L 22-14 at CAR,15,61,4.1,0,27,1,
23,22,"Justice Hill, RB",BAL,W 37-26 at NE,6,60,10.0,0,34,0,
24,23,"Javonte Williams, RB",DEN,W 11-10 vs. SF,15,58,3.9,0,16,0,
25,24,"Najee Harris, RB",PIT,L 29-17 at CLE,15,56,3.7,1,10,1,
26,25,"Josh Allen, QB",BUF,L 21-19 at MIA,8,47,5.9,0,19,1,
27,26,"Justin Fields, QB",CHI,W 23-20 vs. HOU,8,47,5.9,0,29,0,
28,27,"Samaje Perine, RB",CIN,W 27-12 at NYJ,9,47,5.2,0,7,0,
29,28,"Kareem Hunt, RB",CLE,W 29-17 vs. PIT,12,47,3.9,0,11,0,
30,29,"Zack Moss, RB",BUF,L 21-19 at MIA,4,46,11.5,0,43,0,
31,30,"Miles Sanders, RB",PHI,W 24-8 at WSH,15,46,3.1,0,13,0,
