,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Austin Ekeler, RB",LAC,W 30-28 at CLE,16,173,10.8,1,71,0,
3,2,"Rhamondre Stevenson, RB",NE,W 29-0 vs. DET,25,161,6.4,0,49,0,
4,3,"Josh Jacobs, RB",LV,L 30-29 at KC,21,154,7.3,1,37,0,
5,4,"Nick Chubb, RB",CLE,L 30-28 vs. LAC,17,134,7.9,2,41,0,
6,5,"Jeff Wilson Jr., RB",SF,W 37-15 at CAR,17,120,7.1,1,41,0,
7,6,"Raheem Mostert, RB",MIA,L 40-17 at NYJ,18,113,6.3,1,24,0,
8,7,"Taysom Hill, TE",NO,W 39-32 vs. SEA,9,112,12.4,3,60,0,
9,8,"Alvin Kamara, RB",NO,W 39-32 vs. SEA,23,103,4.5,0,13,1,
10,9,"Derrick Henry, RB",TEN,W 21-17 at WSH,28,102,3.6,2,15,0,
11,10,"Dameon Pierce, RB",HOU,W 13-6 at JAX,26,99,3.8,1,20,0,
12,11,"Breece Hall, RB",NYJ,W 40-17 vs. MIA,18,97,5.4,1,17,0,
13,12,"Dalvin Cook, RB",MIN,W 29-22 vs. CHI,18,94,5.2,2,15,0,
14,13,"Kenneth Walker III, RB",SEA,L 39-32 at NO,8,88,11.0,1,69,0,
15,14,"Tony Pollard, RB",DAL,W 22-10 at LAR,8,86,10.8,1,57,0,
16,15,"Joe Mixon, RB",CIN,L 19-17 at BAL,14,78,5.6,0,12,0,
17,16,"Ezekiel Elliott, RB",DAL,W 22-10 at LAR,22,78,3.5,0,12,0,
18,17,"Travis Etienne Jr., RB",JAX,L 13-6 vs. HOU,10,71,7.1,0,30,0,
19,18,"Saquon Barkley, RB",NYG,W 27-22 at GB,13,70,5.4,1,40,0,
20,19,"Aaron Jones, RB",GB,L 27-22 vs. NYG,13,63,4.8,0,11,0,
21,20,"Deon Jackson, RB",IND,W 12-9 at DEN,13,62,4.8,0,17,0,
22,21,"Marcus Mariota, QB",ATL,L 21-15 at TB,7,61,8.7,0,23,0,
23,22,"Jalen Hurts, QB",PHI,W 20-17 at ARI,15,61,4.1,2,17,0,
24,23,"Lamar Jackson, QB",BAL,W 19-17 vs. CIN,12,58,4.8,0,19,0,
25,24,"Miles Sanders, RB",PHI,W 20-17 at ARI,15,58,3.9,0,12,0,
26,25,"Leonard Fournette, RB",TB,W 21-15 vs. ATL,14,56,4.0,1,14,0,
27,26,"Jamaal Williams, RB",DET,L 29-0 at NE,15,56,3.7,0,13,0,
28,27,"James Conner, RB",ARI,L 20-17 vs. PHI,9,55,6.1,0,17,0,
29,28,"Rashaad Penny, RB",SEA,L 39-32 at NO,8,54,6.8,0,32,0,
30,29,"Christian McCaffrey, RB",CAR,L 37-15 vs. SF,14,54,3.9,1,19,0,
31,30,"Melvin Gordon III, RB",DEN,L 12-9 vs. IND,15,54,3.6,0,17,0,
