,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders,Sortable Rushing Leaders
1,RK,PLAYER,TEAM,RESULT,CAR,YDS,AVG,TD,LNG,FUM,
2,1,"Derrick Henry, RB",TEN,W 17-10 at HOU,32,219,6.8,2,41,0,
3,2,"Travis Etienne Jr., RB",JAX,L 21-17 vs. DEN,24,156,6.5,1,49,0,
4,3,"Aaron Jones, RB",GB,L 27-17 at BUF,20,143,7.2,0,32,0,
5,4,"Tony Pollard, RB",DAL,W 49-29 vs. CHI,14,131,9.4,3,54,0,
6,5,"D'Onta Foreman, RB",CAR,L 37-34 at ATL,26,118,4.5,3,16,0,
7,6,"Dalvin Cook, RB",MIN,W 34-26 vs. ARI,20,111,5.6,1,30,0,
8,7,"Nick Chubb, RB",CLE,W 32-13 vs. CIN,23,101,4.4,2,21,0,
9,8,"Khalil Herbert, RB",CHI,L 49-29 at DAL,16,99,6.2,1,36,0,
10,9,"Christian McCaffrey, RB",SF,W 31-14 at LAR,18,94,5.2,1,25,0,
11,10,"Caleb Huntley, RB",ATL,W 37-34 vs. CAR,16,91,5.7,0,30,0,
12,11,"Dontrell Hilliard, RB",TEN,W 17-10 at HOU,8,83,10.4,0,30,0,
13,12,"Miles Sanders, RB",PHI,W 35-13 vs. PIT,9,78,8.7,1,21,0,
14,13,"Jonathan Taylor, RB",IND,L 17-16 vs. WSH,16,76,4.8,0,27,1,
15,14,"Rhamondre Stevenson, RB",NE,W 22-17 at NYJ,16,71,4.4,0,35,0,
16,15,"Devin Singletary, RB",BUF,W 27-17 vs. GB,14,67,4.8,0,30,0,
17,16,"Gus Edwards, RB",BAL,W 27-22 at TB,11,65,5.9,0,22,0,
18,17,"Raheem Mostert, RB",MIA,W 31-27 at DET,14,64,4.6,0,13,0,
19,18,"Kenyan Drake, RB",BAL,W 27-22 at TB,7,62,8.9,0,40,0,
20,19,"Alvin Kamara, RB",NO,W 24-0 vs. LV,18,62,3.4,1,9,0,
21,20,"Taysom Hill, TE",NO,W 24-0 vs. LV,10,61,6.1,0,11,0,
22,21,"Justin Fields, QB",CHI,L 49-29 at DAL,8,60,7.5,1,15,0,
23,22,"AJ Dillon, RB",GB,L 27-17 at BUF,10,54,5.4,0,27,0,
24,23,"Jamaal Williams, RB",DET,L 31-27 vs. MIA,10,53,5.3,2,15,0,
25,24,"David Montgomery, RB",CHI,L 49-29 at DAL,15,53,3.5,0,10,1,
26,25,"Saquon Barkley, RB",NYG,L 27-13 at SEA,20,53,2.7,1,15,0,
27,26,"Kenneth Walker III, RB",SEA,W 27-13 vs. NYG,18,51,2.8,1,16,0,
28,27,"Jaylen Warren, RB",PIT,L 35-13 at PHI,6,50,8.3,0,19,0,
29,28,"Josh Allen, QB",BUF,W 27-17 vs. GB,6,49,8.2,0,20,0,
30,29,"Latavius Murray, RB",DEN,W 21-17 at JAX,14,46,3.3,1,9,0,
31,30,"Marcus Mariota, QB",ATL,W 37-34 vs. CAR,6,43,7.2,0,30,0,
