,0,1,2,3,4,5,6,7,8,9,10,11
0,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders
1,RK,PLAYER,TEAM,RESULT,COMP,ATT,YDS,TD,INT,SACK,FUM,RAT
2,1,"Tua Tagovailoa, QB",MIA,W 42-38 at BAL,36,50,469,6,2,1,0,124.1
3,2,"Carson Wentz, QB",WSH,L 36-27 at DET,30,46,337,3,1,5,0,99.7
4,3,"Justin Herbert, QB",LAC,L 27-24 at KC,33,48,334,3,1,2,0,100.5
5,4,"Jalen Hurts, QB",PHI,W 24-7 vs. MIN,26,31,333,1,1,3,0,108.7
6,5,"Lamar Jackson, QB",BAL,L 42-38 vs. MIA,21,29,318,3,0,0,0,142.6
7,6,"Josh Allen, QB",BUF,W 41-7 vs. TEN,26,38,317,4,0,1,0,128.9
8,7,"Joe Flacco, QB",NYJ,W 31-30 at CLE,26,44,307,4,0,2,1,110.7
9,8,"Kyler Murray, QB",ARI,W 29-23 at LV,31,49,277,1,1,1,0,76.7
10,9,"Matthew Stafford, QB",LAR,W 31-27 vs. ATL,27,36,272,3,2,1,0,100.7
11,10,"Jared Goff, QB",DET,W 36-27 vs. WSH,20,34,256,4,0,3,0,121.7
12,11,"Mac Jones, QB",NE,W 17-14 at PIT,21,35,252,1,1,0,0,79.7
13,12,"Derek Carr, QB",LV,L 29-23 vs. ARI,25,39,252,2,0,1,0,99.5
14,13,"Jameis Winston, QB",NO,L 20-10 vs. TB,25,40,236,1,3,6,0,55.8
15,14,"Trevor Lawrence, QB",JAX,W 24-0 vs. IND,25,30,235,2,0,0,0,121.5
16,15,"Cooper Rush, QB",DAL,W 20-17 vs. CIN,19,31,235,1,0,1,0,95.5
17,16,"Patrick Mahomes, QB",KC,W 27-24 vs. LAC,24,35,235,2,0,1,0,106.2
18,17,"Aaron Rodgers, QB",GB,W 27-10 vs. CHI,19,25,234,2,0,3,1,131.1
19,18,"Jacoby Brissett, QB",CLE,L 31-30 vs. NYJ,22,27,229,1,1,1,0,98.9
20,19,"Kirk Cousins, QB",MIN,L 24-7 at PHI,27,46,221,1,3,2,0,51.1
21,20,"Russell Wilson, QB",DEN,W 16-9 vs. HOU,14,31,219,1,1,3,0,66.4
22,21,"Joe Burrow, QB",CIN,L 20-17 at DAL,24,36,199,1,0,6,0,89.9
23,22,"Geno Smith, QB",SEA,L 27-7 at SF,24,30,197,0,1,2,0,80.2
24,23,"Marcus Mariota, QB",ATL,L 31-27 at LAR,17,26,196,2,2,3,1,81.6
25,24,"Matt Ryan, QB",IND,L 24-0 at JAX,16,30,195,0,3,5,0,34.0
26,25,"Tom Brady, QB",TB,W 20-10 at NO,18,34,190,1,0,1,1,79.3
27,26,"Davis Mills, QB",HOU,L 16-9 at DEN,19,38,177,0,0,3,0,63.2
28,27,"Daniel Jones, QB",NYG,W 19-16 vs. CAR,22,34,176,1,0,3,0,87.4
29,28,"Mitch Trubisky, QB",PIT,L 17-14 vs. NE,21,33,168,1,1,3,0,73.8
30,29,"Jimmy Garoppolo, QB",SF,W 27-7 vs. SEA,13,21,154,1,0,1,0,100.1
31,30,"Baker Mayfield, QB",CAR,L 19-16 at NYG,14,29,145,1,0,2,0,74.6
