,0,1,2,3,4,5,6,7,8,9,10,11
0,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders
1,RK,PLAYER,TEAM,RESULT,COMP,ATT,YDS,TD,INT,SACK,FUM,RAT
2,1,"Joe Burrow, QB",CIN,W 37-30 at PIT,24,39,355,4,2,2,0,104.1
3,2,"Daniel Jones, QB",NYG,L 31-18 vs. DET,27,44,341,1,2,2,0,74.1
4,3,"Ryan Tannehill, QB",TEN,W 27-17 at GB,22,27,333,2,1,3,0,127.3
5,4,"Patrick Mahomes, QB",KC,W 30-27 at LAC,20,34,329,3,0,1,0,120.8
6,5,"Jacoby Brissett, QB",CLE,L 31-23 at BUF,28,41,324,3,0,1,1,116.3
7,6,"Derek Carr, QB",LV,W 22-16 at DEN,23,37,307,2,0,1,0,106.5
8,7,"Justin Herbert, QB",LAC,L 30-27 vs. KC,23,30,280,2,1,5,0,113.2
9,8,"Dak Prescott, QB",DAL,W 40-3 at MIN,22,25,276,2,0,0,0,139.3
10,9,"Kenny Pickett, QB",PIT,L 37-30 vs. CIN,25,42,265,1,0,2,0,85.9
11,10,"Andy Dalton, QB",NO,W 27-20 vs. LAR,21,25,260,3,0,3,0,149.6
12,11,"Russell Wilson, QB",DEN,L 22-16 vs. LV,24,31,247,0,0,3,0,99.8
13,12,"Mac Jones, QB",NE,W 10-3 vs. NYJ,23,27,246,0,0,6,0,104.6
14,13,"Jimmy Garoppolo, QB",SF,W 38-10 at ARI,20,29,228,4,0,0,0,131.9
15,14,"Aaron Rodgers, QB",GB,L 27-17 vs. TEN,24,39,227,2,0,1,0,94.7
16,15,"Colt McCoy, QB",ARI,L 38-10 vs. SF,24,34,218,0,1,3,0,75.4
17,16,"Matt Ryan, QB",IND,L 17-16 vs. PHI,23,32,213,0,0,4,0,89.7
18,17,"Lamar Jackson, QB",BAL,W 13-3 vs. CAR,24,33,209,0,1,3,0,76.5
19,18,"Josh Allen, QB",BUF,W 31-23 vs. CLE,18,27,197,1,0,2,0,100.4
20,19,"Baker Mayfield, QB",CAR,L 13-3 at BAL,21,33,196,0,2,4,0,54.6
21,20,"Taylor Heinicke, QB",WSH,W 23-10 at HOU,15,27,191,0,0,0,0,77.9
22,21,"Jalen Hurts, QB",PHI,W 17-16 at IND,18,25,190,1,0,3,1,107.1
23,22,"Davis Mills, QB",HOU,L 23-10 vs. WSH,19,33,169,0,2,5,0,46.2
24,23,"Jared Goff, QB",DET,W 31-18 at NYG,17,26,165,0,0,0,0,83.0
25,24,"Matthew Stafford, QB",LAR,L 27-20 at NO,11,18,159,2,0,1,0,126.8
26,25,"Justin Fields, QB",CHI,L 27-24 at ATL,14,21,153,1,1,4,0,84.0
27,26,"Marcus Mariota, QB",ATL,W 27-24 vs. CHI,13,20,131,1,0,0,0,100.2
28,27,"Kirk Cousins, QB",MIN,L 40-3 vs. DAL,12,23,105,0,0,7,1,64.6
29,28,"Zach Wilson, QB",NYJ,L 10-3 at NE,9,22,77,0,0,4,0,50.8
30,29,"Bryce Perkins, QB",LAR,L 27-20 at NO,5,10,64,0,0,3,0,70.4
31,30,"Trace McSorley, QB",ARI,L 38-10 vs. SF,6,10,59,0,1,0,0,37.1
