,0,1,2,3,4,5,6,7,8,9,10,11
0,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders
1,RK,PLAYER,TEAM,RESULT,COMP,ATT,YDS,TD,INT,SACK,FUM,RAT
2,1,"Matt Ryan, QB",IND,W 34-27 vs. JAX,42,58,389,3,0,0,0,107.6
3,2,"Patrick Mahomes, QB",KC,L 24-20 vs. BUF,25,40,338,2,2,3,0,85.2
4,3,"Teddy Bridgewater, QB",MIA,L 24-16 vs. MIN,23,34,329,2,2,5,0,93.9
5,4,"Josh Allen, QB",BUF,W 24-20 at KC,27,40,329,3,0,1,1,117.6
6,5,"Bailey Zappe, QB",NE,W 38-15 at CLE,24,34,309,2,0,2,1,118.4
7,6,"Joe Burrow, QB",CIN,W 30-26 at NO,28,37,300,3,0,3,0,126.0
8,7,"Jimmy Garoppolo, QB",SF,L 28-14 at ATL,29,41,296,2,2,0,0,87.0
9,8,"Jacoby Brissett, QB",CLE,L 38-15 vs. NE,21,45,266,1,2,4,1,54.5
10,9,"Matthew Stafford, QB",LAR,W 24-10 vs. CAR,26,33,253,1,1,1,0,96.1
11,10,"Aaron Rodgers, QB",GB,L 27-10 vs. NYJ,26,41,246,1,0,4,1,88.1
12,11,"Tom Brady, QB",TB,L 20-18 at PIT,25,40,243,1,0,2,0,87.8
13,12,"Justin Herbert, QB",LAC,W 19-16 vs. DEN,37,57,238,0,1,2,0,66.3
14,13,"Kyler Murray, QB",ARI,L 19-9 at SEA,23,37,222,0,1,6,1,67.6
15,14,"Lamar Jackson, QB",BAL,L 24-20 at NYG,17,32,210,1,1,2,1,71.1
16,15,"Geno Smith, QB",SEA,W 19-9 vs. ARI,20,31,197,0,0,5,0,82.3
17,16,"Justin Fields, QB",CHI,L 12-7 vs. WSH,14,27,190,1,1,5,0,71.5
18,17,"Russell Wilson, QB",DEN,L 19-16 at LAC,15,28,188,1,0,4,0,86.6
19,18,"Cooper Rush, QB",DAL,L 26-17 at PHI,18,38,181,1,3,0,0,37.3
20,19,"Kirk Cousins, QB",MIN,W 24-16 at MIA,20,30,175,2,0,3,0,104.2
21,20,"Daniel Jones, QB",NYG,W 24-20 vs. BAL,19,27,173,2,0,4,1,112.1
22,21,"Trevor Lawrence, QB",JAX,L 34-27 at IND,20,22,165,1,0,4,0,113.1
23,22,"Andy Dalton, QB",NO,L 30-26 vs. CIN,17,32,162,1,0,1,0,77.9
24,23,"Jalen Hurts, QB",PHI,W 26-17 vs. DAL,15,25,155,2,0,4,0,104.6
25,24,"Mitch Trubisky, QB",PIT,W 20-18 vs. TB,9,12,144,1,0,1,0,142.4
26,25,"Marcus Mariota, QB",ATL,W 28-14 vs. SF,13,14,129,2,0,2,0,144.6
27,26,"Zach Wilson, QB",NYJ,W 27-10 at GB,10,18,110,0,0,2,0,73.8
28,27,"Carson Wentz, QB",WSH,W 12-7 at CHI,12,22,99,0,0,3,0,66.3
29,28,"Skylar Thompson, QB",MIA,L 24-16 vs. MIN,7,13,89,0,0,1,0,75.5
30,29,"Kenny Pickett, QB",PIT,W 20-18 vs. TB,11,18,67,1,0,1,0,87.0
31,30,"PJ Walker, QB",CAR,L 24-10 at LAR,10,16,60,0,0,2,0,69.8
