,0,1,2,3,4,5,6,7,8,9,10,11
0,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders
1,RK,PLAYER,TEAM,RESULT,COMP,ATT,YDS,TD,INT,SACK,FUM,RAT
2,1,"Patrick Mahomes, QB",KC,W 20-17 vs. TEN,43,68,446,1,1,4,0,80.9
3,2,"Tua Tagovailoa, QB",MIA,W 35-32 at CHI,21,30,302,3,0,0,0,135.7
4,3,"Aaron Rodgers, QB",GB,L 15-9 at DET,23,43,291,1,3,1,0,53.5
5,4,"Tom Brady, QB",TB,W 16-13 vs. LAR,36,58,280,1,0,1,0,79.7
6,5,"Geno Smith, QB",SEA,W 31-21 at ARI,26,34,275,2,1,2,0,106.9
7,6,"Kirk Cousins, QB",MIN,W 20-17 at WSH,22,40,265,2,1,2,0,81.8
8,7,"Derek Carr, QB",LV,L 27-20 at JAX,21,36,259,2,0,2,0,99.2
9,8,"Justin Herbert, QB",LAC,W 20-17 at ATL,30,43,245,1,1,0,0,82.0
10,9,"Jalen Hurts, QB",PHI,W 29-17 at HOU,21,27,243,2,0,4,1,128.9
11,10,"Trevor Lawrence, QB",JAX,W 27-20 vs. LV,25,31,235,1,0,0,1,109.0
12,11,"Andy Dalton, QB",NO,L 27-13 vs. BAL,19,29,210,1,1,4,0,84.0
13,12,"Joe Burrow, QB",CIN,W 42-21 vs. CAR,22,28,206,1,0,1,0,109.2
14,13,"Josh Allen, QB",BUF,L 20-17 at NYJ,18,34,205,0,2,5,0,46.8
15,14,"Kyler Murray, QB",ARI,L 31-21 vs. SEA,25,35,175,2,0,5,1,101.5
16,15,"Matthew Stafford, QB",LAR,L 16-13 at TB,13,27,165,1,0,4,0,80.0
17,16,"Baker Mayfield, QB",CAR,L 42-21 at CIN,14,20,155,2,0,0,0,126.0
18,17,"Davis Mills, QB",HOU,L 29-17 vs. PHI,13,22,154,2,2,3,0,72.9
19,18,"Zach Wilson, QB",NYJ,W 20-17 vs. BUF,18,25,154,1,0,2,1,101.1
20,19,"Taylor Heinicke, QB",WSH,L 20-17 vs. MIN,15,28,149,2,1,3,0,77.8
21,20,"Mac Jones, QB",NE,W 26-3 vs. IND,20,30,147,1,0,4,0,89.2
22,21,"Jared Goff, QB",DET,W 15-9 vs. GB,14,26,137,2,1,0,0,78.5
23,22,"Lamar Jackson, QB",BAL,W 27-13 at NO,12,22,133,1,0,3,0,87.9
24,23,"Marcus Mariota, QB",ATL,L 20-17 vs. LAC,12,23,129,0,0,2,0,68.9
25,24,"Justin Fields, QB",CHI,L 35-32 vs. MIA,17,28,123,3,0,2,0,106.7
26,25,"Sam Ehlinger, QB",IND,L 26-3 at NE,15,29,103,0,1,9,0,45.6
27,26,"Malik Willis, QB",TEN,L 20-17 at KC,5,16,80,0,0,3,0,49.0
28,27,"Brandon Allen, QB",CIN,W 42-21 vs. CAR,3,3,22,0,0,1,0,97.2
29,28,"Taysom Hill, TE",NO,L 27-13 vs. BAL,1,1,13,0,0,0,0,118.8
30,29,"PJ Walker, QB",CAR,L 42-21 at CIN,3,10,9,0,2,0,0,.0
31,30,"Nick Mullens, QB",MIN,W 20-17 at WSH,1,1,-3,0,0,0,0,79.2
