,0,1,2,3,4,5,6,7,8,9,10,11
0,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders,Sortable Passing Leaders
1,RK,PLAYER,TEAM,RESULT,COMP,ATT,YDS,TD,INT,SACK,FUM,RAT
2,1,"Jalen Hurts, QB",PHI,W 35-10 vs. TEN,29,39,380,3,0,2,0,130.3
3,2,"Mike White, QB",NYJ,L 27-22 at MIN,31,57,369,0,2,1,0,59.8
4,3,"Geno Smith, QB",SEA,W 27-23 at LAR,28,39,367,3,1,4,1,116.1
5,4,"Jared Goff, QB",DET,W 40-14 vs. JAX,31,41,340,2,0,2,0,115.9
6,5,"Justin Herbert, QB",LAC,L 27-20 at LV,28,47,335,1,0,5,0,88.5
7,6,"Tua Tagovailoa, QB",MIA,L 33-17 at SF,18,33,295,2,2,3,1,79.7
8,7,"Joe Burrow, QB",CIN,W 27-24 vs. KC,25,31,286,2,0,1,0,126.6
9,8,"Tom Brady, QB",TB,W 17-16 vs. NO,36,54,281,2,1,1,0,84.0
10,9,"Taylor Heinicke, QB",WSH,T 20-20 at NYG,27,41,275,2,0,5,1,101.2
11,10,"Justin Fields, QB",CHI,L 28-19 vs. GB,20,25,254,0,2,0,0,75.7
12,11,"Derek Carr, QB",LV,W 27-20 vs. LAC,16,30,250,2,1,0,0,89.6
13,12,"Matt Ryan, QB",IND,L 54-19 at DAL,21,37,233,2,3,3,1,59.8
14,13,"Andy Dalton, QB",NO,L 17-16 at TB,20,28,229,1,0,2,0,107.6
15,14,"Patrick Mahomes, QB",KC,L 27-24 at CIN,16,27,223,1,0,2,0,98.2
16,15,"Josh Allen, QB",BUF,W 24-10 at NE,22,33,223,2,0,2,1,106.0
17,16,"Brock Purdy, QB",SF,W 33-17 vs. MIA,25,37,210,2,1,3,0,88.8
18,17,"Kyle Allen, QB",HOU,L 27-14 vs. CLE,20,39,201,1,2,0,1,53.5
19,18,"Daniel Jones, QB",NYG,T 20-20 vs. WSH,25,31,200,1,0,4,1,104.3
20,19,"Kenny Pickett, QB",PIT,W 19-16 at ATL,16,28,197,1,0,0,0,90.9
21,20,"Mac Jones, QB",NE,L 24-10 vs. BUF,22,36,195,1,0,1,0,84.8
22,21,"Russell Wilson, QB",DEN,L 10-9 at BAL,17,22,189,0,0,2,0,102.3
23,22,"Tyler Huntley, QB",BAL,W 10-9 vs. DEN,27,32,187,0,1,2,0,78.0
24,23,"Aaron Rodgers, QB",GB,W 28-19 at CHI,18,31,182,1,0,0,0,85.7
25,24,"Trevor Lawrence, QB",JAX,L 40-14 at DET,17,31,179,1,0,2,0,82.6
26,25,"John Wolford, QB",LAR,L 27-23 vs. SEA,14,26,178,0,2,4,0,43.4
27,26,"Kirk Cousins, QB",MIN,W 27-22 vs. NYJ,21,35,173,1,0,2,0,82.2
28,27,"Dak Prescott, QB",DAL,W 54-19 vs. IND,20,30,170,3,1,1,0,100.7
29,28,"Marcus Mariota, QB",ATL,L 19-16 vs. PIT,13,24,167,1,1,1,0,72.7
30,29,"Ryan Tannehill, QB",TEN,L 35-10 at PHI,14,22,141,1,0,6,0,97.0
31,30,"Deshaun Watson, QB",CLE,W 27-14 at HOU,12,22,131,0,1,1,0,53.4
