,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Tee Higgins, WR",CIN,W 37-30 at PIT,9,148,16.4,0,33,0,
3,2,"Davante Adams, WR",LV,W 22-16 at DEN,7,141,20.1,2,35,0,
4,3,"Demarcus Robinson, WR",BAL,W 13-3 vs. CAR,9,128,14.2,0,31,0,
5,4,"Travis Kelce, TE",KC,W 30-27 at LAC,6,115,19.2,3,34,0,
6,5,"Amari Cooper, WR",CLE,L 31-23 at BUF,8,113,14.1,2,25,0,
7,6,"Treylon Burks, WR",TEN,W 27-17 at GB,7,111,15.9,0,51,0,
8,7,"Tony Pollard, RB",DAL,W 40-3 at MIN,6,109,18.2,2,68,0,
9,8,"Joshua Palmer, WR",LAC,L 30-27 vs. KC,8,106,13.3,2,50,0,
10,9,"Greg Dortch, WR",ARI,L 38-10 vs. SF,9,103,11.4,0,47,0,
11,10,"Chris Olave, WR",NO,W 27-20 vs. LAR,5,102,20.4,1,53,0,
12,11,"Wan'Dale Robinson, WR",NYG,L 31-18 vs. DET,9,100,11.1,0,19,0,
13,12,"Keenan Allen, WR",LAC,L 30-27 vs. KC,5,94,18.8,0,46,1,
14,13,"DeAndre Hopkins, WR",ARI,L 38-10 vs. SF,9,91,10.1,0,17,0,
15,14,"Darius Slayton, WR",NYG,L 31-18 vs. DET,5,86,17.2,0,24,0,
16,15,"George Kittle, TE",SF,W 38-10 at ARI,4,84,21.0,2,39,0,
17,16,"George Pickens, WR",PIT,L 37-30 vs. CIN,4,83,20.8,1,33,0,
18,17,"Courtland Sutton, WR",DEN,L 22-16 vs. LV,5,80,16.0,0,23,0,
19,18,"Pat Freiermuth, TE",PIT,L 37-30 vs. CIN,8,79,9.9,0,27,0,
20,19,"DeVonta Smith, WR",PHI,W 17-16 at IND,6,78,13.0,0,24,0,
21,20,"Amon-Ra St. Brown, WR",DET,W 31-18 at NYG,7,76,10.9,0,32,0,
22,21,"Terrace Marshall Jr., WR",CAR,L 13-3 at BAL,3,76,25.3,0,34,0,
23,22,"Michael Pittman Jr., WR",IND,L 17-16 vs. PHI,6,75,12.5,0,24,0,
24,23,"Randall Cobb, WR",GB,L 27-17 vs. TEN,6,73,12.2,0,28,0,
25,24,"Dawson Knox, TE",BUF,W 31-23 vs. CLE,7,70,10.0,0,23,0,
26,25,"Brandin Cooks, WR",HOU,L 23-10 vs. WSH,3,70,23.3,0,41,0,
27,26,"Robert Woods, WR",TEN,W 27-17 at GB,6,69,11.5,0,32,0,
28,27,"Gabe Davis, WR",BUF,W 31-23 vs. CLE,5,68,13.6,0,28,0,
29,28,"Christian McCaffrey, RB",SF,W 38-10 at ARI,7,67,9.6,0,14,0,
30,29,"Parris Campbell, WR",IND,L 17-16 vs. PHI,5,67,13.4,0,31,0,
31,30,"Justin Watson, WR",KC,W 30-27 at LAC,3,67,22.3,0,29,0,
