,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Zay Jones, WR",JAX,W 28-27 vs. BAL,11,145,13.2,0,29,0,
3,2,"Justin Jefferson, WR",MIN,W 33-26 vs. NE,9,139,15.4,1,37,0,
4,3,"Amon-Ra St. Brown, WR",DET,L 28-25 vs. BUF,9,122,13.6,1,26,0,
5,4,"Tee Higgins, WR",CIN,W 20-16 at TEN,7,114,16.3,1,29,0,
6,5,"Chris Godwin, WR",TB,L 23-17 at CLE,12,110,9.2,1,23,0,
7,6,"Christian Watson, WR",GB,L 40-33 at PHI,4,110,27.5,1,63,0,
8,7,"CeeDee Lamb, WR",DAL,W 28-20 vs. NYG,6,106,17.7,0,25,0,
9,8,"DJ Moore, WR",CAR,W 23-10 vs. DEN,4,103,25.8,1,52,0,
10,9,"Jelani Woods, TE",IND,L 24-17 vs. PIT,8,98,12.3,0,28,0,
11,10,"Isaiah McKenzie, WR",BUF,W 28-25 at DET,6,96,16.0,1,30,0,
12,11,"Garrett Wilson, WR",NYJ,W 31-10 vs. CHI,5,95,19.0,2,54,0,
13,12,"Amari Cooper, WR",CLE,W 23-17 vs. TB,7,94,13.4,0,45,0,
14,13,"Olamide Zaccheaus, WR",ATL,L 19-13 at WSH,5,91,18.2,0,45,0,
15,14,"DK Metcalf, WR",SEA,L 40-34 vs. LV,11,90,8.2,0,24,0,
16,15,"DeAndre Hopkins, WR",ARI,L 25-24 vs. LAC,4,87,21.8,1,33,0,
17,16,"Tyreek Hill, WR",MIA,W 30-15 vs. HOU,6,85,14.2,0,29,0,
18,17,"Jaylen Waddle, WR",MIA,W 30-15 vs. HOU,5,85,17.0,0,34,0,
19,18,"DeVante Parker, WR",NE,L 33-26 at MIN,4,80,20.0,0,40,0,
20,19,"Derrick Henry, RB",TEN,L 20-16 vs. CIN,3,79,26.3,0,69,0,
21,20,"Stefon Diggs, WR",BUF,W 28-25 at DET,8,77,9.6,1,36,0,
22,21,"Rhamondre Stevenson, RB",NE,L 33-26 at MIN,9,76,8.4,0,40,0,
23,22,"Josh Oliver, TE",BAL,L 28-27 at JAX,4,76,19.0,1,40,0,
24,23,"Courtland Sutton, WR",DEN,L 23-10 at CAR,6,75,12.5,0,22,0,
25,24,"Davante Adams, WR",LV,W 40-34 at SEA,7,74,10.6,0,28,0,
26,25,"Josh Jacobs, RB",LV,W 40-34 at SEA,6,74,12.3,0,28,0,
27,26,"DeSean Jackson, WR",BAL,L 28-27 at JAX,2,74,37.0,0,62,0,
28,27,"DeAndre Carter, WR",LAC,W 25-24 at ARI,7,73,10.4,1,33,0,
29,28,"Treylon Burks, WR",TEN,L 20-16 vs. CIN,4,70,17.5,0,51,0,
30,29,"Tyler Lockett, WR",SEA,L 40-34 vs. LV,3,68,22.7,1,35,0,
31,30,"JaMycal Hasty, RB",JAX,W 28-27 vs. BAL,5,67,13.4,1,28,0,
