,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Gabe Davis, WR",BUF,W 38-3 vs. PIT,3,171,57.0,2,98,0,
3,2,"Justin Jefferson, WR",MIN,W 29-22 vs. CHI,12,154,12.8,0,31,0,
4,3,"Mike Williams, WR",LAC,W 30-28 at CLE,10,134,13.4,0,38,0,
5,4,"Cooper Kupp, WR",LAR,L 22-10 vs. DAL,7,125,17.9,1,75,0,
6,5,"Davante Adams, WR",LV,L 30-29 at KC,3,124,41.3,2,58,0,
7,6,"Jakobi Meyers, WR",NE,W 29-0 vs. DET,7,111,15.9,1,24,0,
8,7,"Dyami Brown, WR",WSH,L 21-17 vs. TEN,2,105,52.5,2,75,0,
9,8,"Marvin Jones Jr., WR",JAX,L 13-6 vs. HOU,7,104,14.9,0,37,0,
10,9,"Tyler Lockett, WR",SEA,L 39-32 at NO,5,104,20.8,2,40,0,
11,10,"Stefon Diggs, WR",BUF,W 38-3 vs. PIT,8,102,12.8,1,41,0,
12,11,"Breece Hall, RB",NYJ,W 40-17 vs. MIA,2,100,50.0,0,79,0,
13,12,"Randall Cobb, WR",GB,L 27-22 vs. NYG,7,99,14.1,0,35,0,
14,13,"Dallas Goedert, TE",PHI,W 20-17 at ARI,8,95,11.9,0,31,0,
15,14,"Josh Reynolds, WR",DET,L 29-0 at NE,6,92,15.3,0,31,0,
16,15,"Alvin Kamara, RB",NO,W 39-32 vs. SEA,6,91,15.2,0,54,1,
17,16,"Marquez Valdes-Scantling, WR",KC,W 30-29 vs. LV,6,90,15.0,0,23,0,
18,17,"Mark Andrews, TE",BAL,W 19-17 vs. CIN,8,89,11.1,1,20,0,
19,18,"David Njoku, TE",CLE,L 30-28 vs. LAC,6,88,14.7,0,38,0,
20,19,"DK Metcalf, WR",SEA,L 39-32 at NO,5,88,17.6,1,50,1,
21,20,"DeVonta Smith, WR",PHI,W 20-17 at ARI,10,87,8.7,0,22,0,
22,21,"Leonard Fournette, RB",TB,W 21-15 vs. ATL,10,83,8.3,1,21,0,
23,22,"George Pickens, WR",PIT,L 38-3 at BUF,6,83,13.8,0,29,0,
24,23,"Alec Pierce, WR",IND,W 12-9 at DEN,8,81,10.1,0,17,0,
25,24,"Mike Evans, WR",TB,W 21-15 vs. ATL,4,81,20.3,0,40,0,
26,25,"Darius Slayton, WR",NYG,W 27-22 at GB,6,79,13.2,0,26,0,
27,26,"Marquise Brown, WR",ARI,L 20-17 vs. PHI,8,78,9.8,1,25,0,
28,27,"Amari Cooper, WR",CLE,L 30-28 vs. LAC,7,76,10.9,1,20,0,
29,28,"Terry McLaurin, WR",WSH,L 21-17 vs. TEN,5,76,15.2,0,34,0,
30,29,"Khalil Shakir, WR",BUF,W 38-3 vs. PIT,3,75,25.0,1,31,0,
31,30,"Courtland Sutton, WR",DEN,L 12-9 vs. IND,5,74,14.8,0,51,0,
