,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Tyreek Hill, WR",MIA,L 24-16 vs. MIN,12,177,14.8,0,28,0,
3,2,"Stefon Diggs, WR",BUF,W 24-20 at KC,10,148,14.8,1,31,0,
4,3,"Michael Pittman Jr., WR",IND,W 34-27 vs. JAX,13,134,10.3,0,20,0,
5,4,"Ja'Marr Chase, WR",CIN,W 30-26 at NO,7,132,18.9,2,60,0,
6,5,"Jaylen Waddle, WR",MIA,L 24-16 vs. MIN,6,129,21.5,0,49,1,
7,6,"JuJu Smith-Schuster, WR",KC,L 24-20 vs. BUF,5,113,22.6,1,42,0,
8,7,"Travis Kelce, TE",KC,L 24-20 vs. BUF,8,108,13.5,0,25,0,
9,8,"Justin Jefferson, WR",MIN,W 24-16 at MIA,6,107,17.8,0,47,0,
10,9,"Mark Andrews, TE",BAL,L 24-20 at NYG,7,106,15.1,1,18,0,
11,10,"Chase Claypool, WR",PIT,W 20-18 vs. TB,7,96,13.7,1,26,0,
12,11,"Chris Godwin, WR",TB,L 20-18 at PIT,6,95,15.8,0,28,0,
13,12,"Robert Tonyan, TE",GB,L 27-10 vs. NYJ,10,90,9.0,0,16,0,
14,13,"Christian McCaffrey, RB",CAR,L 24-10 at LAR,7,89,12.7,0,49,0,
15,14,"Dante Pettis, WR",CHI,L 12-7 vs. WSH,4,84,21.0,1,40,0,
16,15,"George Kittle, TE",SF,L 28-14 at ATL,8,83,10.4,0,19,0,
17,16,"Brandon Aiyuk, WR",SF,L 28-14 at ATL,8,83,10.4,2,14,0,
18,17,"Cooper Kupp, WR",LAR,W 24-10 vs. CAR,7,80,11.4,0,22,0,
19,18,"Deon Jackson, RB",IND,W 34-27 vs. JAX,10,79,7.9,0,22,0,
20,19,"Deebo Samuel, WR",SF,L 28-14 at ATL,7,79,11.3,0,27,0,
21,20,"Allen Lazard, WR",GB,L 27-10 vs. NYJ,4,76,19.0,1,35,0,
22,21,"Donovan Peoples-Jones, WR",CLE,L 38-15 vs. NE,4,74,18.5,0,37,0,
23,22,"Gabe Davis, WR",BUF,W 24-20 at KC,3,74,24.7,1,34,0,
24,23,"Zach Ertz, TE",ARI,L 19-9 at SEA,7,70,10.0,0,32,0,
25,24,"Mike Gesicki, TE",MIA,L 24-16 vs. MIN,6,69,11.5,2,18,0,
26,25,"Darnell Mooney, WR",CHI,L 12-7 vs. WSH,7,68,9.7,0,26,0,
27,26,"Marquise Brown, WR",ARI,L 19-9 at SEA,5,68,13.6,0,26,0,
28,27,"CeeDee Lamb, WR",DAL,L 26-17 at PHI,5,68,13.6,0,24,0,
29,28,"A.J. Brown, WR",PHI,W 26-17 vs. DAL,5,67,13.4,1,22,0,
30,29,"Tyler Boyd, WR",CIN,W 30-26 at NO,6,66,11.0,0,21,0,
31,30,"DeVante Parker, WR",NE,W 38-15 at CLE,4,64,16.0,0,29,0,
