,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Davante Adams, WR",LV,W 27-20 vs. LAC,8,177,22.1,2,45,0,
3,2,"Garrett Wilson, WR",NYJ,L 27-22 at MIN,8,162,20.3,0,60,0,
4,3,"Tyreek Hill, WR",MIA,L 33-17 at SF,9,146,16.2,1,45,0,
5,4,"Tyler Lockett, WR",SEA,W 27-23 at LAR,9,128,14.2,1,36,0,
6,5,"DK Metcalf, WR",SEA,W 27-23 at LAR,8,127,15.9,1,40,0,
7,6,"A.J. Brown, WR",PHI,W 35-10 vs. TEN,8,119,14.9,2,40,0,
8,7,"Amon-Ra St. Brown, WR",DET,W 40-14 vs. JAX,11,114,10.4,2,15,0,
9,8,"Terry McLaurin, WR",WSH,T 20-20 at NYG,8,105,13.1,1,20,0,
10,9,"Christian Kirk, WR",JAX,L 40-14 at DET,6,104,17.3,0,37,0,
11,10,"DeVonta Smith, WR",PHI,W 35-10 vs. TEN,5,102,20.4,1,34,0,
12,11,"DJ Chark, WR",DET,W 40-14 vs. JAX,5,98,19.6,0,41,0,
13,12,"Ja'Marr Chase, WR",CIN,W 27-24 vs. KC,7,97,13.9,0,40,0,
14,13,"Drake London, WR",ATL,L 19-16 vs. PIT,6,95,15.8,0,37,0,
15,14,"Stefon Diggs, WR",BUF,W 24-10 at NE,7,92,13.1,1,19,0,
16,15,"Darius Slayton, WR",NYG,T 20-20 vs. WSH,6,90,15.0,0,55,0,
17,16,"Keenan Allen, WR",LAC,L 27-20 at LV,6,88,14.7,1,35,0,
18,17,"Alec Pierce, WR",IND,L 54-19 at DAL,4,86,21.5,1,45,0,
19,18,"Greg Dulcich, TE",DEN,L 10-9 at BAL,6,85,14.2,0,30,0,
20,19,"Corey Davis, WR",NYJ,L 27-22 at MIN,5,85,17.0,0,31,0,
21,20,"Equanimeous St. Brown, WR",CHI,L 28-19 vs. GB,3,85,28.3,0,56,0,
22,21,"Christian McCaffrey, RB",SF,W 33-17 vs. MIA,8,80,10.0,1,33,0,
23,22,"Gerald Everett, TE",LAC,L 27-20 at LV,5,80,16.0,0,19,0,
24,23,"Pat Freiermuth, TE",PIT,W 19-16 at ATL,3,76,25.3,0,57,0,
25,24,"Rashid Shaheed, WR",NO,L 17-16 at TB,4,75,18.8,0,40,0,
26,25,"Trent Sherfield, WR",MIA,L 33-17 at SF,1,75,75.0,1,75,0,
27,26,"Cole Kmet, TE",CHI,L 28-19 vs. GB,6,72,12.0,0,24,0,
28,27,"CeeDee Lamb, WR",DAL,W 54-19 vs. IND,5,71,14.2,1,22,0,
29,28,"Marquez Valdes-Scantling, WR",KC,L 27-24 at CIN,2,71,35.5,0,42,0,
30,29,"Chigoziem Okonkwo, TE",TEN,L 35-10 at PHI,4,68,17.0,0,41,0,
31,30,"Austin Ekeler, RB",LAC,L 27-20 at LV,5,67,13.4,0,18,1,
