,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Justin Jefferson, WR",MIN,W 23-7 vs. GB,9,184,20.4,2,64,0,
3,2,"A.J. Brown, WR",PHI,W 38-35 at DET,10,155,15.5,0,54,0,
4,3,"Davante Adams, WR",LV,L 24-19 at LAC,10,141,14.1,1,41,0,
5,4,"Ja'Marr Chase, WR",CIN,L 23-20 vs. PIT,10,129,12.9,1,24,0,
6,5,"Cooper Kupp, WR",LAR,L 31-10 vs. BUF,13,128,9.8,1,28,0,
7,6,"Stefon Diggs, WR",BUF,W 31-10 at LAR,8,122,15.3,1,53,0,
8,7,"Michael Pittman Jr., WR",IND,T 20-20 at HOU,9,121,13.4,1,28,0,
9,8,"Travis Kelce, TE",KC,W 44-21 at ARI,8,121,15.1,1,35,0,
10,9,"Christian Kirk, WR",JAX,L 28-22 at WSH,6,117,19.5,0,49,0,
11,10,"Jarvis Landry, WR",NO,W 27-26 at ATL,7,114,16.3,0,40,0,
12,11,"Robbie Anderson, WR",CAR,L 26-24 vs. CLE,5,102,20.4,1,75,0,
13,12,"Jerry Jeudy, WR",DEN,L 17-16 at SEA,4,102,25.5,1,67,0,
14,13,"Tyreek Hill, WR",MIA,W 20-7 vs. NE,8,94,11.8,0,26,0,
15,14,"Gabe Davis, WR",BUF,W 31-10 at LAR,4,88,22.0,1,47,0,
16,15,"Brandin Cooks, WR",HOU,T 20-20 vs. IND,7,82,11.7,0,42,0,
17,16,"JuJu Smith-Schuster, WR",KC,W 44-21 at ARI,6,79,13.2,0,20,1,
18,17,"Darren Waller, TE",LV,L 24-19 at LAC,4,79,19.8,0,31,0,
19,18,"Corey Davis, WR",NYJ,L 24-9 vs. BAL,6,77,12.8,0,17,0,
20,19,"Pat Freiermuth, TE",PIT,W 23-20 at CIN,5,75,15.0,0,31,0,
21,20,"Drake London, WR",ATL,L 27-26 vs. NO,5,74,14.8,0,31,0,
22,21,"Antonio Gibson, RB",WSH,W 28-22 vs. JAX,7,72,10.3,0,26,0,
23,22,"Courtland Sutton, WR",DEN,L 17-16 at SEA,4,72,18.0,0,30,0,
24,23,"Mike Evans, WR",TB,W 19-3 at DAL,5,71,14.2,1,20,0,
25,24,"Sterling Shepard, WR",NYG,W 21-20 at TEN,2,71,35.5,1,65,0,
26,25,"Jaylen Waddle, WR",MIA,W 20-7 vs. NE,4,69,17.3,1,42,0,
27,26,"Julio Jones, WR",TB,W 19-3 at DAL,3,69,23.0,0,48,0,
28,27,"Noah Brown, WR",DAL,L 19-3 vs. TB,5,68,13.6,0,22,0,
29,28,"Kyle Philips, WR",TEN,L 21-20 vs. NYG,6,66,11.0,0,21,1,
30,29,"Keenan Allen, WR",LAC,W 24-19 vs. LV,4,66,16.5,0,42,0,
31,30,"Javonte Williams, RB",DEN,L 17-16 at SEA,11,65,5.9,0,13,1,
