,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"T.J. Hockenson, TE",DET,L 48-45 vs. SEA,8,179,22.4,2,81,0,
3,2,"Tyreek Hill, WR",MIA,L 27-15 at CIN,10,160,16.0,0,64,0,
4,3,"DK Metcalf, WR",SEA,W 48-45 at DET,7,149,21.3,0,54,0,
5,4,"Justin Jefferson, WR",MIN,W 28-25 at NO,10,147,14.7,0,41,0,
6,5,"Tee Higgins, WR",CIN,W 27-15 vs. MIA,7,124,17.7,1,59,0,
7,6,"Cooper Kupp, WR",LAR,L 24-9 at SF,14,122,8.7,0,18,0,
8,7,"Mike Williams, WR",LAC,W 34-24 at HOU,7,120,17.1,0,50,0,
9,8,"Allen Lazard, WR",GB,W 27-24 vs. NE,6,116,19.3,0,32,0,
10,9,"Deebo Samuel, WR",SF,W 24-9 vs. LAR,6,115,19.2,1,57,0,
11,10,"Mike Evans, WR",TB,L 41-31 vs. KC,8,103,12.9,2,30,0,
12,11,"George Pickens, WR",PIT,L 24-20 vs. NYJ,6,102,17.0,0,27,0,
13,12,"Davante Adams, WR",LV,W 32-23 vs. DEN,9,101,11.2,0,20,0,
14,13,"CeeDee Lamb, WR",DAL,W 25-10 vs. WSH,6,97,16.2,1,30,0,
15,14,"A.J. Brown, WR",PHI,W 29-21 vs. JAX,5,95,19.0,0,31,0,
16,15,"Darnell Mooney, WR",CHI,L 20-12 at NYG,4,94,23.5,0,56,0,
17,16,"Travis Kelce, TE",KC,W 41-31 at TB,9,92,10.2,1,22,0,
18,17,"Tyler Lockett, WR",SEA,W 48-45 at DET,6,91,15.2,0,34,1,
19,18,"Marquise Brown, WR",ARI,W 26-16 at CAR,6,88,14.7,1,23,0,
20,19,"Pat Freiermuth, TE",PIT,L 24-20 vs. NYJ,7,85,12.1,0,24,0,
21,20,"Mo Alie-Cox, TE",IND,L 24-17 vs. TEN,6,85,14.2,2,34,0,
22,21,"Nico Collins, WR",HOU,L 34-24 vs. LAC,3,82,27.3,0,58,0,
23,22,"Christian McCaffrey, RB",CAR,L 26-16 vs. ARI,9,81,9.0,1,34,0,
24,23,"Josh Reynolds, WR",DET,L 48-45 vs. SEA,7,81,11.6,1,26,0,
25,24,"Ja'Marr Chase, WR",CIN,W 27-15 vs. MIA,4,81,20.3,0,36,0,
26,25,"Alec Pierce, WR",IND,L 24-17 vs. TEN,4,80,20.0,0,44,0,
27,26,"Corey Davis, WR",NYJ,W 24-20 at PIT,5,74,14.8,1,22,0,
28,27,"Tyler Higbee, TE",LAR,L 24-9 at SF,10,73,7.3,0,12,0,
29,28,"David Njoku, TE",CLE,L 23-20 at ATL,5,73,14.6,0,25,1,
30,29,"Adam Thielen, WR",MIN,W 28-25 at NO,8,72,9.0,0,16,0,
31,30,"Dallas Goedert, TE",PHI,W 29-21 vs. JAX,5,72,14.4,0,26,0,
