,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Tyler Boyd, WR",CIN,W 35-17 vs. ATL,8,155,19.4,1,60,0,
3,2,"Ja'Marr Chase, WR",CIN,W 35-17 vs. ATL,8,130,16.3,2,41,0,
4,3,"JuJu Smith-Schuster, WR",KC,W 44-23 at SF,7,124,17.7,1,45,0,
5,4,"Marquez Valdes-Scantling, WR",KC,W 44-23 at SF,3,111,37.0,0,57,0,
6,5,"Chris Olave, WR",NO,L 42-34 at ARI,7,106,15.1,0,41,0,
7,6,"DeAndre Hopkins, WR",ARI,W 42-34 vs. NO,10,103,10.3,0,18,0,
8,7,"Travis Kelce, TE",KC,W 44-23 at SF,6,98,16.3,0,27,0,
9,8,"George Kittle, TE",SF,L 44-23 vs. KC,6,98,16.3,1,34,0,
10,9,"Austin Ekeler, RB",LAC,L 37-23 vs. SEA,12,96,8.0,1,23,0,
11,10,"Mike Evans, WR",TB,L 21-3 at CAR,9,96,10.7,0,20,0,
12,11,"Christian Kirk, WR",JAX,L 23-17 vs. NYG,7,96,13.7,0,34,0,
13,12,"Jerry Jeudy, WR",DEN,L 16-9 vs. NYJ,7,96,13.7,0,45,0,
14,13,"Davante Adams, WR",LV,W 38-20 vs. HOU,8,95,11.9,0,16,0,
15,14,"Tee Higgins, WR",CIN,W 35-17 vs. ATL,5,93,18.6,0,25,0,
16,15,"Jaylen Waddle, WR",MIA,W 16-10 vs. PIT,4,88,22.0,0,25,0,
17,16,"Mike Williams, WR",LAC,L 37-23 vs. SEA,7,86,12.3,1,21,0,
18,17,"Brandon Aiyuk, WR",SF,L 44-23 vs. KC,7,82,11.7,0,21,0,
19,18,"Pat Freiermuth, TE",PIT,L 16-10 at MIA,8,75,9.4,0,21,0,
20,19,"Kalif Raymond, WR",DET,L 24-6 at DAL,5,75,15.0,0,20,0,
21,20,"Damiere Byrd, WR",ATL,L 35-17 at CIN,1,75,75.0,1,75,0,
22,21,"Amari Cooper, WR",CLE,L 23-20 at BAL,3,74,24.7,0,55,0,
23,22,"Terry McLaurin, WR",WSH,W 23-21 vs. GB,5,73,14.6,1,37,0,
24,23,"Tyreek Hill, WR",MIA,W 16-10 vs. PIT,7,72,10.3,0,21,0,
25,24,"David Njoku, TE",CLE,L 23-20 at BAL,7,71,10.1,0,22,0,
26,25,"Donovan Peoples-Jones, WR",CLE,L 23-20 at BAL,6,71,11.8,0,37,1,
27,26,"Parris Campbell, WR",IND,L 19-10 at TEN,10,70,7.0,1,11,0,
28,27,"CeeDee Lamb, WR",DAL,W 24-6 vs. DET,4,70,17.5,0,24,0,
29,28,"DJ Moore, WR",CAR,W 21-3 vs. TB,7,69,9.9,1,21,0,
30,29,"DeVante Parker, WR",NE,L 33-14 vs. CHI,3,68,22.7,0,43,0,
31,30,"Jordan Akins, TE",HOU,L 38-20 at LV,3,68,22.7,0,39,0,
