,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Tyreek Hill, WR",MIA,W 42-38 at BAL,11,190,17.3,2,60,0,
3,2,"Jaylen Waddle, WR",MIA,W 42-38 at BAL,11,171,15.5,2,59,0,
4,3,"Stefon Diggs, WR",BUF,W 41-7 vs. TEN,12,148,12.3,3,46,0,
5,4,"Courtland Sutton, WR",DEN,W 16-9 vs. HOU,7,122,17.4,0,35,0,
6,5,"Amon-Ra St. Brown, WR",DET,W 36-27 vs. WSH,9,116,12.9,2,49,0,
7,6,"Mike Williams, WR",LAC,L 27-24 at KC,8,113,14.1,1,39,0,
8,7,"Nelson Agholor, WR",NE,W 17-14 at PIT,6,110,18.3,1,44,0,
9,8,"Cooper Kupp, WR",LAR,W 31-27 vs. ATL,11,108,9.8,2,20,1,
10,9,"Rashod Bateman, WR",BAL,L 42-38 vs. MIA,4,108,27.0,1,75,0,
11,10,"Tyler Lockett, WR",SEA,L 27-7 at SF,9,107,11.9,0,27,0,
12,11,"Mark Andrews, TE",BAL,L 42-38 vs. MIA,9,104,11.6,1,25,0,
13,12,"Garrett Wilson, WR",NYJ,W 31-30 at CLE,8,102,12.8,2,31,0,
14,13,"Amari Cooper, WR",CLE,L 31-30 vs. NYJ,9,101,11.2,1,20,0,
15,14,"Jakobi Meyers, WR",NE,W 17-14 at PIT,9,95,10.6,0,24,0,
16,15,"Sammy Watkins, WR",GB,W 27-10 vs. CHI,3,93,31.0,0,55,0,
17,16,"Noah Brown, WR",DAL,W 20-17 vs. CIN,5,91,18.2,1,28,0,
18,17,"Drake London, WR",ATL,L 31-27 at LAR,8,86,10.8,1,22,0,
19,18,"Corey Davis, WR",NYJ,W 31-30 at CLE,2,83,41.5,1,66,0,
20,19,"Dallas Goedert, TE",PHI,W 24-7 vs. MIN,5,82,16.4,0,24,0,
21,20,"DeVonta Smith, WR",PHI,W 24-7 vs. MIN,7,80,11.4,0,19,0,
22,21,"Chris Olave, WR",NO,L 20-10 vs. TB,5,80,16.0,0,51,1,
23,22,"Ashton Dulin, WR",IND,L 24-0 at JAX,5,79,15.8,0,39,0,
24,23,"Curtis Samuel, WR",WSH,L 36-27 at DET,7,78,11.1,1,27,0,
25,24,"Christian Kirk, WR",JAX,W 24-0 vs. IND,6,78,13.0,2,26,0,
26,25,"Zach Ertz, TE",ARI,W 29-23 at LV,8,75,9.4,0,16,0,
27,26,"CeeDee Lamb, WR",DAL,W 20-17 vs. CIN,7,75,10.7,0,24,0,
28,27,"Terry McLaurin, WR",WSH,L 36-27 at DET,4,75,18.8,0,35,0,
29,28,"Tyler Higbee, TE",LAR,W 31-27 vs. ATL,7,71,10.1,0,18,0,
30,29,"Gerald Everett, TE",LAC,L 27-24 at KC,6,71,11.8,0,26,0,
31,30,"Tee Higgins, WR",CIN,L 20-17 at DAL,6,71,11.8,1,19,0,
