,0,1,2,3,4,5,6,7,8,9,10
0,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders,Sortable Receiving Leaders
1,RK,PLAYER,TEAM,RESULT,REC,YDS,AVG,TD,LNG,FUM,
2,1,"Tyreek Hill, WR",MIA,W 31-27 at DET,12,188,15.7,0,42,0,
3,2,"DeAndre Hopkins, WR",ARI,L 34-26 at MIN,12,159,13.3,1,33,0,
4,3,"A.J. Brown, WR",PHI,W 35-13 vs. PIT,6,156,26.0,3,43,0,
5,4,"DJ Moore, WR",CAR,L 37-34 at ATL,6,152,25.3,1,62,0,
6,5,"Amari Cooper, WR",CLE,W 32-13 vs. CIN,5,131,26.2,1,53,0,
7,6,"Mike Evans, WR",TB,L 27-22 vs. BAL,6,123,20.5,0,51,0,
8,7,"Garrett Wilson, WR",NYJ,L 22-17 vs. NE,6,115,19.2,0,54,0,
9,8,"Terry McLaurin, WR",WSH,W 17-16 at IND,6,113,18.8,0,42,0,
10,9,"Stefon Diggs, WR",BUF,W 27-17 vs. GB,6,108,18.0,1,53,0,
11,10,"Jaylen Waddle, WR",MIA,W 31-27 at DET,8,106,13.3,2,29,0,
12,11,"Justin Jefferson, WR",MIN,W 34-26 vs. ARI,6,98,16.3,0,29,0,
13,12,"Alvin Kamara, RB",NO,W 24-0 vs. LV,9,96,10.7,2,36,0,
14,13,"Rondale Moore, WR",ARI,L 34-26 at MIN,7,92,13.1,1,38,0,
15,14,"Terrace Marshall Jr., WR",CAR,L 37-34 at ATL,4,87,21.8,0,39,0,
16,15,"Greg Dulcich, TE",DEN,W 21-17 at JAX,4,87,21.8,0,38,0,
17,16,"Brandon Aiyuk, WR",SF,W 31-14 at LAR,6,81,13.5,1,34,0,
18,17,"Donovan Peoples-Jones, WR",CLE,W 32-13 vs. CIN,4,81,20.3,0,37,0,
19,18,"Kyle Pitts, TE",ATL,W 37-34 vs. CAR,5,80,16.0,1,33,0,
20,19,"T.J. Hockenson, TE",DET,L 31-27 vs. MIA,3,80,26.7,0,58,0,
21,20,"Cooper Kupp, WR",LAR,L 31-14 vs. SF,8,79,9.9,1,23,0,
22,21,"Tyler Conklin, TE",NYJ,L 22-17 vs. NE,6,79,13.2,2,27,0,
23,22,"Isaiah Likely, TE",BAL,W 27-22 at TB,6,77,12.8,1,17,0,
24,23,"CeeDee Lamb, WR",DAL,W 49-29 vs. CHI,5,77,15.4,1,22,0,
25,24,"Kalif Raymond, WR",DET,L 31-27 vs. MIA,3,76,25.3,0,43,0,
26,25,"Denzel Mims, WR",NYJ,L 22-17 vs. NE,2,76,38.0,0,63,0,
27,26,"Chris Godwin, WR",TB,L 27-22 vs. BAL,6,75,12.5,0,44,0,
28,27,"Dalton Schultz, TE",DAL,W 49-29 vs. CHI,6,74,12.3,0,30,0,
29,28,"Brandin Cooks, WR",HOU,L 17-10 vs. TEN,4,73,18.3,0,44,0,
30,29,"Rhamondre Stevenson, RB",NE,W 22-17 at NYJ,7,72,10.3,0,22,0,
31,30,"Darnell Mooney, WR",CHI,L 49-29 at DAL,5,70,14.0,0,36,0,
